call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,8222,27,41,1.3953,72.0099,77.7131,62.0907,63.3187,81.9774,11.8325,,0.1656,84,8
2,Exploit,4690,19,28,1.0006,72.1106,77.8265,62.5525,62.2859,83.4646,11.5563,,0.2616,84,8
3,Exploit,1639,69,12,1.5830,73.9487,79.8323,65.2393,64.1523,87.2229,10.5114,,0.1029,84,11
4,Exploit,9652,10,50,1.4262,72.6431,78.3871,62.3426,62.7411,84.7806,12.5080,,0.2635,84,7
5,Exploit,6360,11,11,1.2872,74.8054,80.7615,65.1134,68.5358,85.9137,10.3638,,0.2883,84,10
6,Exploit,4227,14,49,0.8492,71.8711,77.5677,62.2166,61.6586,83.6278,11.5393,,0.3144,84,7
7,Exploit,1112,66,25,1.9748,71.5249,77.2162,65.2393,57.4863,85.2225,10.1331,,0.0882,84,12
8,Exploit,4901,87,37,1.1757,72.0222,77.7246,61.4190,62.0174,84.5636,11.9446,,0.1116,84,7
9,Exploit,334,95,33,1.0781,71.0178,76.6181,60.7053,60.9681,80.9666,13.1522,,0.0780,84,7
10,Exploit,361,31,20,1.5249,73.5886,79.4437,64.6516,64.3098,86.1112,10.4512,,0.1335,84,11
11,Exploit,5414,10,11,1.2657,73.3925,79.2212,64.1058,65.6868,83.4974,11.0865,,0.2258,84,10
12,Exploit,7874,91,10,0.6146,73.6624,79.4747,63.3081,64.2569,85.4646,13.4349,,0.1406,84,9
13,Exploit,10254,22,15,0.5476,73.0053,78.7826,63.8539,61.4540,86.4879,12.2823,,0.3022,84,10
14,Exploit,250,17,10,1.9819,74.0254,79.9194,64.9874,66.1764,85.4855,10.2590,,0.1225,84,11
15,Exploit,207,100,10,1.5024,73.4138,79.2506,63.2662,64.5781,86.5437,10.6919,,0.0590,84,11
16,Exploit,9910,10,10,1.8629,73.7000,79.5623,64.9034,65.5363,84.5868,10.5684,,0.2546,84,11
17,Exploit,2252,100,10,1.8470,72.7862,78.5742,65.7851,59.7454,86.9938,10.5305,,0.0795,84,12
18,Exploit,1288,10,10,0.5116,74.2161,80.0574,62.0907,69.0414,82.7335,14.4312,,0.2843,84,8
19,Exploit,278,10,10,1.9098,74.5838,80.5172,64.6935,67.0814,87.0058,10.6427,,0.1154,84,11
