Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,168,168,100.0
T SKAP1 CD247,12,12,100.0
Astro GFAP FABP7,102,97,95.09803921568627
PC P2RY14 GRM8,393,365,92.87531806615776
Oligo MOG OPALIN,355,329,92.67605633802818
L2-3 CUX2 ACVR1C THSD7A,204,178,87.25490196078431
Astro AQP4 SLC1A2,394,337,85.53299492385787
VLMC COL1A2 VLMCA8,20,17,85.0
Endo CLDN5 SLC7A5,1345,1111,82.60223048327137
Micro P2RY12 CCL3,122,97,79.50819672131148
InN PVALB PDE3A,25,17,68.0
L5-6 FEZF2 NXPH2 CDH8,26,17,65.38461538461539
InN PVALB HPSE,115,59,51.30434782608695
L3-5 RORB MKX GRIN3A,293,146,49.829351535836174
L3-5 RORB GABRG1 KCNH7,135,62,45.925925925925924
InN LAMP5 BMP7,84,34,40.476190476190474
L6 OPRK1 THEMIS RGS6,86,28,32.55813953488372
L2-3 CUX2 NTNG1 COL5A2,274,81,29.562043795620436
InN SST STK32A,142,26,18.309859154929576
InN VIP CLSTN2,119,21,17.647058823529413
