Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
9,OPC PDGFRA PCDH15,168,168,100.0
27,T SKAP1 CD247,12,12,100.0
5,Oligo MOG OPALIN,248,239,96.37096774193549
17,Astro GFAP FABP7,102,97,95.09803921568627
6,PC P2RY14 GRM8,216,205,94.9074074074074
26,PC P2RY14 GRM8,19,18,94.73684210526316
3,Astro AQP4 SLC1A2,281,264,93.95017793594306
1,Endo CLDN5 SLC7A5,464,425,91.59482758620689
10,PC P2RY14 GRM8,158,142,89.87341772151899
7,L2-3 CUX2 ACVR1C THSD7A,204,178,87.25490196078431
25,VLMC COL1A2 VLMCA8,20,17,85.0
16,Oligo MOG OPALIN,107,90,84.11214953271028
8,Endo CLDN5 SLC7A5,200,163,81.5
13,Micro P2RY12 CCL3,122,97,79.50819672131148
18,Endo CLDN5 SLC7A5,88,69,78.4090909090909
0,Endo CLDN5 SLC7A5,593,454,76.55986509274874
22,Astro AQP4 SLC1A2,46,34,73.91304347826087
24,InN PVALB PDE3A,25,17,68.0
23,L5-6 FEZF2 NXPH2 CDH8,26,17,65.38461538461539
21,Astro AQP4 SLC1A2,67,39,58.208955223880594
15,InN PVALB HPSE,115,59,51.30434782608695
2,L3-5 RORB MKX GRIN3A,293,146,49.829351535836174
12,L3-5 RORB GABRG1 KCNH7,135,62,45.925925925925924
20,InN LAMP5 BMP7,84,34,40.476190476190474
19,L6 OPRK1 THEMIS RGS6,86,28,32.55813953488372
4,L2-3 CUX2 NTNG1 COL5A2,274,81,29.562043795620436
11,InN SST STK32A,142,26,18.309859154929576
14,InN VIP CLSTN2,119,21,17.647058823529413
