Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
L5-6 FEZF2 NXPH2 CDH8,Lake et al.science.ex6,18.0,26.47058823529412,21.428571428571427,12.0,9,50,34,Oligodendrocyte precursor cell,4.0,15.384615384615385,6.349206349206351,3.278688524590164,2,50,13,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35
Oligo MOG OPALIN,Oligodendrocytes,18.0,10.227272727272728,13.043478260869565,6.976744186046512,9,50,88,Oligodendrocyte,22.0,6.0109289617486334,9.44206008583691,4.954954954954955,11,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Neuron,24.0,6.9364161849710975,10.762331838565023,5.687203791469194,12,50,173,Pyramidal cells,8.0,11.428571428571429,9.411764705882355,4.938271604938271,4,50,35
InN SST STK32A,Purkinje neurons,12.0,10.16949152542373,11.009174311926607,5.825242718446602,6,50,59,Neuron,16.0,4.624277456647398,7.174887892376682,3.7209302325581395,8,50,173,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34
InN PVALB HPSE,Lake et al.science.ex6,8.0,11.76470588235294,9.523809523809526,5.0,4,50,34,Parvalbumin interneuron,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59
InN LAMP5 BMP7,Gabaergic neurons,6.0,20.0,9.230769230769232,4.838709677419355,3,50,15,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Inhibitory neuron,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6
Astro GFAP FABP7,Astrocyte,22.0,5.263157894736842,8.494208494208493,4.435483870967742,11,50,209,Mature astrocyte,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
L3-5 RORB MKX GRIN3A,Cajal-retzius cells,10.0,6.41025641025641,7.8125,4.0650406504065035,5,50,78,Somatostatin interneuron,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5,Lake et al.science.ex5,4.0,22.22222222222222,6.779661016949154,3.508771929824561,2,50,9
Astro AQP4 SLC1A2,Astrocyte,20.0,4.784688995215311,7.7220077220077235,4.016064257028113,10,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Satellite glial cells,4.0,8.333333333333332,5.405405405405405,2.7777777777777777,2,50,24
