Cell_Type,MCS
Endo CLDN5 SLC7A5,0.7387063197026023
Astro AQP4 SLC1A2,0.9284771573604061
PC P2RY14 GRM8,0.8945547073791347
Oligo MOG OPALIN,0.8630985915492957
L3-5 RORB MKX GRIN3A,0.9561774744027304
L2-3 CUX2 NTNG1 COL5A2,0.9520437956204378
L2-3 CUX2 ACVR1C THSD7A,0.9664705882352942
OPC PDGFRA PCDH15,0.9267857142857143
InN SST STK32A,0.9428169014084509
L3-5 RORB GABRG1 KCNH7,0.9494814814814816
Micro P2RY12 CCL3,0.8762295081967213
InN VIP CLSTN2,0.9436974789915965
InN PVALB HPSE,0.9504347826086956
Astro GFAP FABP7,0.9335294117647059
L6 OPRK1 THEMIS RGS6,0.9453488372093024
InN LAMP5 BMP7,0.9680952380952382
L5-6 FEZF2 NXPH2 CDH8,0.9684615384615385
InN PVALB PDE3A,0.9904000000000001
VLMC COL1A2 VLMCA8,0.8759999999999999
T SKAP1 CD247,0.63
