gene,weight
AGBL2,1.0
AGBL3,1.0
AGBL4,1.0
AGBL5,1.0
AGER,1.0
AGFG2,1.0
AGGF1,1.0
AGK-DT,1.0
AGMAT,1.0
AGMO,1.0
AGPAT1,1.0
AGPAT2,1.0
AGPAT4,1.0
AGPAT5,1.0
AGRN,1.0
AGT,1.0
AGTPBP1,1.0
AGTRAP,1.0
AHCY,1.0
AHCYL1,1.0
AHCYL2,1.0
AHI1-DT,1.0
AHNAK,1.0
AHNAK2,1.0
AHR,1.0
AHRR,1.0
AHSA1,1.0
AIDA,1.0
AIF1L,1.0
AIFM1,1.0
AIFM3,1.0
AIG1,1.0
AIM2,1.0
AIMP1,1.0
AIMP2,1.0
AIP,1.0
AJM1,1.0
AK1,1.0
AK2,1.0
AK4,1.0
AK5,1.0
AK6,1.0
AK7,1.0
AK8,1.0
AK9,1.0
AKAIN1,1.0
AKAP1,1.0
AKAP1-DT,1.0
AKAP12,1.0
AKAP13,1.0
AKAP13-AS1,1.0
AKAP17A,1.0
AKAP3,1.0
AKAP5,1.0
AKAP8,1.0
AKIP1,1.0
AKIRIN2,1.0
AKNA,1.0
AKNAD1,1.0
AKR1A1,1.0
AKR1B1,1.0
AKR1C1,1.0
AKR1C2,1.0
AKR1C3,1.0
AKR1E2,1.0
AKR7A2,1.0
AKR7A3,1.0
AKR7L,1.0
AKT1,1.0
AKT1S1,1.0
AKT3-IT1,1.0
AKTIP,1.0
ALAD,1.0
ALAS1,1.0
ALCAM,1.0
ALDH16A1,1.0
ALDH18A1,1.0
ALDH1A1,1.0
ALDH1A2,1.0
ALDH1A3,1.0
ALDH1A3-AS1,1.0
ALDH1B1,1.0
ALDH1L1,1.0
ALDH1L1-AS2,1.0
ALDH1L2,1.0
ALDH2,1.0
ALDH3B1,1.0
ALDH4A1,1.0
ALDH5A1,1.0
ALDH6A1,1.0
ALDH7A1,1.0
ALDH8A1,1.0
ALDH9A1,1.0
ALDOA,1.0
ALDOC,1.0
ALG1,1.0
ALG10,1.0
ALG10B,1.0
ALG11,1.0
ALG12,1.0
ALG13-AS1,1.0
ALG14,1.0
ALG1L2,1.0
ALG2,1.0
ALG3,1.0
ALG5,1.0
ALG6,1.0
ALG8,1.0
ALG9,1.0
ALK,1.0
ALKAL2,1.0
ALKBH1,1.0
ALKBH2,1.0
ALKBH3,1.0
ALKBH4,1.0
ALKBH5,1.0
ALKBH6,1.0
ALKBH7,1.0
ALKBH8,1.0
ALMS1P1,1.0
ALOX12-AS1,1.0
ALOX12P2,1.0
ALOX5,1.0
ALOXE3,1.0
ALPK1,1.0
ALPK3,1.0
ALPL,1.0
ALS2CL,1.0
ALYREF,1.0
AMACR,1.0
AMD1,1.0
AMDHD1,1.0
AMDHD2,1.0
AMER1,1.0
AMER2,1.0
AMER3,1.0
AMH,1.0
AMIGO1,1.0
AMIGO2,1.0
AMMECR1,1.0
AMMECR1L,1.0
AMOT,1.0
AMOTL1,1.0
AMOTL2,1.0
AMPD2,1.0
AMPD3,1.0
AMPH,1.0
AMT,1.0
AMY2B,1.0
AMZ1,1.0
AMZ2,1.0
AMZ2P1,1.0
ANAPC1,1.0
ANAPC10,1.0
ANAPC11,1.0
ANAPC13,1.0
ANAPC15,1.0
ANAPC2,1.0
ANGEL1,1.0
ANGPT1,1.0
ANGPT2,1.0
ANGPTL1,1.0
ANGPTL2,1.0
ANGPTL4,1.0
ANGPTL5,1.0
ANK1,1.0
ANK2-AS1,1.0
ANKDD1A,1.0
ANKDD1B,1.0
ANKEF1,1.0
ANKFN1,1.0
ANKHD1-DT,1.0
ANKLE1,1.0
ANKLE2,1.0
ANKMY1,1.0
ANKRA2,1.0
ANKRD13A,1.0
ANKRD13B,1.0
ANKRD13D,1.0
ANKRD16,1.0
ANKRD18A,1.0
ANKRD18B,1.0
ANKRD18DP,1.0
ANKRD2,1.0
ANKRD20A1,1.0
ANKRD20A11P,1.0
ANKRD20A5P,1.0
ANKRD23,1.0
ANKRD24,1.0
ANKRD27,1.0
ANKRD29,1.0
ANKRD30B,1.0
ANKRD30BL,1.0
ANKRD31,1.0
ANKRD33B,1.0
ANKRD34A,1.0
ANKRD34C,1.0
ANKRD34C-AS1,1.0
ANKRD35,1.0
ANKRD36BP2,1.0
ANKRD37,1.0
ANKRD39,1.0
ANKRD40,1.0
ANKRD42,1.0
ANKRD42-DT,1.0
ANKRD44,1.0
ANKRD44-IT1,1.0
ANKRD45,1.0
ANKRD49,1.0
ANKRD50,1.0
ANKRD52,1.0
ANKRD53,1.0
ANKRD54,1.0
ANKRD55,1.0
ANKRD6,1.0
ANKRD62,1.0
ANKRD63,1.0
ANKRD65,1.0
ANKRD7,1.0
ANKRD9,1.0
ANKS1B,1.0
ANKUB1,1.0
ANKZF1,1.0
ANLN,1.0
ANO1,1.0
ANO10,1.0
ANO2,1.0
ANO3,1.0
ANO4,1.0
ANO5,1.0
ANO6,1.0
ANO7,1.0
ANO8,1.0
ANOS1,1.0
ANP32A,1.0
ANP32B,1.0
ANP32E,1.0
ANPEP,1.0
ANTKMT,1.0
ANTXR1,1.0
ANTXR2,1.0
ANXA2,1.0
ANXA2R-AS1,1.0
ANXA2R-OT1,1.0
ANXA3,1.0
ANXA4,1.0
ANXA5,1.0
ANXA6,1.0
AOAH,1.0
AOC2,1.0
AOPEP,1.0
AOX1,1.0
AP1AR,1.0
AP1AR-DT,1.0
AP1B1,1.0
AP1G2,1.0
AP1G2-AS1,1.0
AP1M1,1.0
AP1S1,1.0
AP1S2,1.0
AP1S3,1.0
AP2A1,1.0
AP2M1,1.0
AP2S1,1.0
AP3B1,1.0
AP3D1,1.0
AP3M1,1.0
AP3M2,1.0
AP4B1,1.0
AP4B1-AS1,1.0
AP4E1,1.0
AP4M1,1.0
AP5B1,1.0
AP5S1,1.0
AP5Z1,1.0
APAF1,1.0
APBA3,1.0
APBB1IP,1.0
APBB2,1.0
APBB3,1.0
APC2,1.0
APCDD1,1.0
APCDD1L,1.0
APCDD1L-DT,1.0
APEH,1.0
APEX1,1.0
APEX2,1.0
APH1A,1.0
APH1B,1.0
API5,1.0
APIP,1.0
APLF,1.0
APLN,1.0
APLNR,1.0
APLP1,1.0
APMAP,1.0
APOA1,1.0
APOA1-AS,1.0
APOBEC3G,1.0
APOBEC4,1.0
APOC1,1.0
APOD,1.0
APOE,1.0
APOL1,1.0
APOL2,1.0
APOL6,1.0
APOLD1,1.0
APOM,1.0
APOO,1.0
APOOL,1.0
APP,1.0
APP-DT,1.0
APPBP2-DT,1.0
APPL2,1.0
APRG1,1.0
APRT,1.0
APTR,1.0
APTX,1.0
AQP1,1.0
AQP11,1.0
AQP4,1.0
AQP4-AS1,1.0
AQP7,1.0
AQP7B,1.0
AQP9,1.0
AR,1.0
ARAF,1.0
ARAP1,1.0
ARAP2,1.0
ARAP3,1.0
ARC,1.0
AREL1,1.0
ARF1,1.0
ARF3,1.0
ARF4,1.0
ARF4-AS1,1.0
ARF5,1.0
ARF6,1.0
ARFGAP1,1.0
ARFGAP2,1.0
ARFGEF3,1.0
ARFIP2,1.0
ARFRP1,1.0
ARG1,1.0
ARG2,1.0
ARHGAP1,1.0
ARHGAP10,1.0
ARHGAP11A,1.0
ARHGAP11A-DT,1.0
ARHGAP11B,1.0
ARHGAP11B-DT,1.0
ARHGAP15,1.0
ARHGAP15-AS1,1.0
ARHGAP18,1.0
ARHGAP19,1.0
ARHGAP20,1.0
ARHGAP21,1.0
ARHGAP22,1.0
ARHGAP23,1.0
ARHGAP24,1.0
ARHGAP25,1.0
ARHGAP26-AS1,1.0
ARHGAP27,1.0
ARHGAP28,1.0
ARHGAP29,1.0
ARHGAP30,1.0
ARHGAP31,1.0
ARHGAP33,1.0
ARHGAP4,1.0
ARHGAP42,1.0
ARHGAP44,1.0
ARHGAP45,1.0
ARHGAP5-AS1,1.0
ARHGAP6,1.0
ARHGAP8,1.0
ARHGAP9,1.0
ARHGDIA,1.0
ARHGDIB,1.0
ARHGDIG,1.0
ARHGEF1,1.0
ARHGEF10,1.0
ARHGEF10L,1.0
ARHGEF18,1.0
ARHGEF2,1.0
ARHGEF25,1.0
ARHGEF26,1.0
ARHGEF26-AS1,1.0
ARHGEF28,1.0
ARHGEF33,1.0
ARHGEF35-AS1,1.0
ARHGEF37,1.0
ARHGEF38,1.0
ARHGEF4,1.0
ARHGEF40,1.0
ARHGEF6,1.0
ARHGEF7-AS2,1.0
ARHGEF9,1.0
ARID3A,1.0
ARID3B,1.0
ARID5A,1.0
ARID5B,1.0
ARIH2OS,1.0
ARL1,1.0
ARL10,1.0
ARL14EP,1.0
ARL14EP-DT,1.0
ARL15,1.0
ARL16,1.0
ARL17B,1.0
ARL2,1.0
ARL2BP,1.0
ARL3,1.0
ARL4A,1.0
ARL4C,1.0
ARL4D,1.0
ARL5A,1.0
ARL5B,1.0
ARL5C,1.0
ARL6,1.0
ARL6IP1,1.0
ARL6IP4,1.0
ARL6IP5,1.0
ARL6IP6,1.0
ARL8A,1.0
ARL9,1.0
ARLNC1,1.0
ARMC1,1.0
ARMC10,1.0
ARMC3,1.0
ARMC5,1.0
ARMC6,1.0
ARMC7,1.0
ARMCX1,1.0
ARMCX2,1.0
ARMCX3,1.0
ARMCX5,1.0
ARMCX5-GPRASP2-1,1.0
ARMH1,1.0
ARMT1,1.0
ARNILA,1.0
ARNT2,1.0
ARNT2-DT,1.0
ARPC1A,1.0
ARPC1B,1.0
ARPC2,1.0
ARPC3,1.0
ARPC4,1.0
ARPC5,1.0
ARPC5L,1.0
ARPIN,1.0
ARPP19,1.0
ARPP21,1.0
ARRB2,1.0
ARRDC1,1.0
ARRDC1-AS1,1.0
ARRDC2,1.0
ARRDC3,1.0
ARRDC3-AS1,1.0
ARRDC4,1.0
ARSA,1.0
ARSB,1.0
ARSD,1.0
ARSF,1.0
ARSG,1.0
ARSI,1.0
ARSJ,1.0
ARSK,1.0
ARSL,1.0
ART3,1.0
ARV1,1.0
ARVCF,1.0
ARX,1.0
AS3MT,1.0
ASAH1-AS1,1.0
ASAH2B,1.0
ASAP1-IT2,1.0
ASAP2,1.0
ASAP3,1.0
ASB1,1.0
ASB13,1.0
ASB14,1.0
ASB16-AS1,1.0
ASB18,1.0
ASB2,1.0
ASB5,1.0
ASB6,1.0
ASB7,1.0
ASB8,1.0
ASCC1,1.0
ASCC2,1.0
ASCC3,1.0
ASCL1,1.0
ASF1A,1.0
ASGR1,1.0
ASH1L-AS1,1.0
ASH2L,1.0
ASIC1,1.0
ASIC2,1.0
ASIC3,1.0
ASIC4,1.0
ASIP,1.0
ASL,1.0
ASMTL,1.0
ASMTL-AS1,1.0
ASNS,1.0
ASNSD1,1.0
ASPA,1.0
ASPDH,1.0
ASPHD1,1.0
ASPHD2,1.0
ASPM,1.0
ASPN,1.0
ASPSCR1,1.0
ASRGL1,1.0
ASS1,1.0
ASTE1,1.0
ASTN1,1.0
ASTN2,1.0
ASTN2-AS1,1.0
ASXL2,1.0
ASXL3,1.0
ATAD2,1.0
ATAD3A,1.0
ATAD3B,1.0
ATAD3C,1.0
ATAD5,1.0
ATAT1,1.0
ATCAY,1.0
ATF1,1.0
ATF3,1.0
ATF4,1.0
ATF5,1.0
ATF6,1.0
ATF6B,1.0
ATF7IP,1.0
ATF7IP2,1.0
ATG10,1.0
ATG101,1.0
ATG12,1.0
ATG16L1,1.0
ATG16L2,1.0
ATG2A,1.0
ATG3,1.0
ATG4A,1.0
ATG4C,1.0
ATG4D,1.0
ATG5,1.0
ATG7,1.0
ATG9A,1.0
ATG9B,1.0
ATIC,1.0
ATL3,1.0
ATM,1.0
ATMIN,1.0
ATN1,1.0
ATOH7,1.0
ATOH8,1.0
ATOSB,1.0
ATOX1,1.0
ATP10A,1.0
ATP10B,1.0
ATP11A,1.0
ATP11C,1.0
ATP13A1,1.0
ATP13A2,1.0
ATP13A3-DT,1.0
ATP13A4,1.0
ATP13A5,1.0
ATP1A1,1.0
ATP1A1-AS1,1.0
ATP1A2,1.0
ATP1A3,1.0
ATP1B1,1.0
ATP1B2,1.0
ATP1B3,1.0
ATP23,1.0
ATP2A1,1.0
ATP2A1-AS1,1.0
ATP2A3,1.0
ATP2B1-AS1,1.0
ATP2B3,1.0
ATP2C2,1.0
ATP2C2-AS1,1.0
ATP5F1A,1.0
ATP5F1B,1.0
ATP5F1C,1.0
ATP5F1D,1.0
ATP5F1E,1.0
ATP5IF1,1.0
ATP5MC1,1.0
ATP5MC2,1.0
ATP5MC3,1.0
ATP5ME,1.0
ATP5MF,1.0
ATP5MG,1.0
ATP5MJ,1.0
ATP5MK,1.0
ATP5PB,1.0
ATP5PD,1.0
ATP5PF,1.0
ATP5PO,1.0
ATP6AP1,1.0
ATP6AP1-DT,1.0
ATP6AP2,1.0
ATP6V0A2,1.0
ATP6V0B,1.0
ATP6V0C,1.0
ATP6V0D1,1.0
ATP6V0D1-DT,1.0
ATP6V0D2,1.0
ATP6V0E2,1.0
ATP6V0E2-AS1,1.0
ATP6V1B2,1.0
ATP6V1C2,1.0
ATP6V1D,1.0
ATP6V1E1,1.0
ATP6V1E2,1.0
ATP6V1F,1.0
ATP6V1FNB,1.0
ATP6V1G1,1.0
ATP6V1G2,1.0
ATP6V1H,1.0
ATP7A,1.0
ATP7B,1.0
ATP8A1,1.0
ATP8A2,1.0
ATP8B1,1.0
ATP8B1-AS1,1.0
ATP8B2,1.0
ATP8B4,1.0
ATP8B5P,1.0
ATPAF2,1.0
ATPSCKMT,1.0
ATR,1.0
ATRAID,1.0
ATRIP,1.0
ATRNL1,1.0
ATXN1,1.0
ATXN1-AS1,1.0
ATXN1L,1.0
ATXN7L1,1.0
ATXN7L2,1.0
ATXN7L3,1.0
ATXN7L3B,1.0
ATXN8OS,1.0
AUNIP,1.0
AUP1,1.0
AURKA,1.0
AURKAIP1,1.0
AURKC,1.0
AUTS2,1.0
AVEN,1.0
AVIL,1.0
AVPI1,1.0
AXDND1,1.0
AXIN1,1.0
AXIN2,1.0
AXL,1.0
AZIN1,1.0
AZIN2,1.0
AZU1,1.0
B2M,1.0
B3GALNT1,1.0
B3GALT1,1.0
B3GALT2,1.0
B3GALT4,1.0
B3GALT5,1.0
B3GALT6,1.0
B3GALT9,1.0
B3GAT1,1.0
B3GAT1-DT,1.0
B3GAT2,1.0
B3GAT3,1.0
B3GLCT,1.0
B3GNT2,1.0
B3GNT4,1.0
B3GNT5,1.0
B3GNT7,1.0
B3GNT9,1.0
B3GNTL1,1.0
B4GALNT1,1.0
B4GALNT3,1.0
B4GALNT4,1.0
B4GALT1,1.0
B4GALT2,1.0
B4GALT3,1.0
B4GALT4,1.0
B4GALT4-AS1,1.0
B4GALT6,1.0
B4GALT7,1.0
B4GAT1,1.0
B4GAT1-DT,1.0
B9D1,1.0
B9D2,1.0
BAALC,1.0
BAALC-AS1,1.0
BAALC-AS2,1.0
BAAT,1.0
BABAM1,1.0
BACE1-AS,1.0
BACE2,1.0
BACH1,1.0
BACH2,1.0
BAD,1.0
BAG1,1.0
BAG2,1.0
BAG3,1.0
BAG4,1.0
BAG5,1.0
BAG6,1.0
BAHCC1,1.0
BAHD1,1.0
