Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Oligo MOG OPALIN,Oligodendrocytes,18.0,10.227272727272728,13.043478260869565,6.976744186046512,9,50,88,Oligodendrocyte,26.0,7.103825136612022,11.158798283261802,5.909090909090909,13,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
Astro GFAP AQP1,Astrocyte,32.0,7.655502392344498,12.355212355212355,6.584362139917696,16,50,209,Stem cell,6.0,13.043478260869565,8.21917808219178,4.285714285714286,3,50,23,Satellite glial cells,6.0,12.5,8.108108108108109,4.225352112676056,3,50,24
Astro GFAP FABP7,Astrocyte,32.0,7.655502392344498,12.355212355212355,6.584362139917696,16,50,209,Mature astrocyte,6.0,75.0,11.11111111111111,5.88235294117647,3,50,4,Bergmann glia,10.0,12.195121951219512,10.989010989010989,5.813953488372093,5,50,41
L6 FEZF2 NPFFR2 TPD52L1,Lake et al.science.ex6,10.0,14.705882352941178,11.904761904761905,6.329113924050633,5,50,34,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Neuron,22.0,6.358381502890173,9.865470852017937,5.188679245283019,11,50,173,Pyramidal cells,6.0,8.571428571428571,7.0588235294117645,3.6585365853658534,3,50,35
Micro P2RY12 APBB1IP,Microglia,14.000000000000002,9.859154929577464,11.570247933884298,6.140350877192982,7,50,71,Microglial-specific cell,4.0,100.0,7.6923076923076925,4.0,2,50,2,Homeostatic microglial cell,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6
InN SST ADAMTSL1,Purkinje neurons,10.0,8.47457627118644,9.174311926605505,4.807692307692308,5,50,59,Oligodendrocyte precursor cell,4.0,15.384615384615385,6.349206349206351,3.278688524590164,2,50,13,Neuron,14.000000000000002,4.046242774566474,6.278026905829597,3.2407407407407405,7,50,173
Astro AQP4 SLC1A2,Astrocytes,10.0,7.936507936507936,8.849557522123893,4.62962962962963,5,50,63,Astrocyte,22.0,5.263157894736842,8.494208494208493,4.435483870967742,11,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
InN ADARB2 FAM19A1,Neuroblasts,8.0,8.0,8.0,4.166666666666666,4,50,50,Lake et al.science.ex1,4.0,14.285714285714285,6.25,3.225806451612903,2,50,14,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
L3-5 RORB MKX GRIN3A,Cajal-retzius cells,10.0,6.41025641025641,7.8125,4.0650406504065035,5,50,78,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
InN PVALB ANOS1,Parvalbumin interneuron,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34
PC P2RY14 GRM8,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Astrocyte,10.0,2.3923444976076556,3.8610038610038617,1.968503937007874,5,50,209
InN LAMP5 LHX6 TAC1,Gabaergic neurons,4.0,13.333333333333334,6.153846153846153,3.1746031746031744,2,50,15,Interneurons,14.000000000000002,3.225806451612903,5.2434456928838955,2.6923076923076925,7,50,217,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69
InN VIP EXPH5,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35
L6 OPRK1 THEMIS RGS6,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Neurons,10.0,2.4630541871921183,3.952569169960475,2.0161290322580645,5,50,203
L3-5 RORB GABRG1 KCNH7,Pyramidal cells,4.0,5.714285714285714,4.7058823529411775,2.4096385542168677,2,50,35,Glutamatergic neuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
L2-3 CUX2 NTNG1 PALMD,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Neuroblasts,4.0,4.0,4.0,2.0408163265306123,2,50,50,Lake et al.science.ex3,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4
L2-3 CUX2 ACVR1C THSD7A,Immature neurons,4.0,5.263157894736842,4.545454545454545,2.3255813953488373,2,50,38,Interneurons,10.0,2.3041474654377883,3.7453183520599254,1.9083969465648856,5,50,217,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
