Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
16,PC P2RY14 GRM8,87,87,100.0
15,OPC PDGFRA PCDH15,91,91,100.0
0,Oligo MOG OPALIN,491,489,99.59266802443992
10,Astro GFAP FABP7,118,117,99.15254237288136
1,Oligo MOG OPALIN,452,442,97.78761061946902
26,Astro GFAP AQP1,49,47,95.91836734693878
27,Oligo MOG OPALIN,46,44,95.65217391304348
14,Endo CLDN5 SLC7A5,103,97,94.1747572815534
3,Oligo MOG OPALIN,236,215,91.10169491525424
12,L2-3 CUX2 ACVR1C THSD7A,110,100,90.9090909090909
22,Endo CLDN5 SLC7A5,65,58,89.23076923076923
18,Endo CLDN5 SLC7A5,76,67,88.15789473684211
8,Astro AQP4 SLC1A2,161,140,86.95652173913044
29,Endo CLDN5 SLC7A5,35,30,85.71428571428571
20,PC P2RY14 GRM8,75,64,85.33333333333333
5,Endo CLDN5 SLC7A5,201,166,82.58706467661692
4,Oligo MOG OPALIN,221,174,78.73303167420815
6,Micro P2RY12 APBB1IP,183,143,78.14207650273224
24,L6 OPRK1 THEMIS RGS6,52,39,75.0
32,Oligo MOG OPALIN,21,15,71.42857142857143
11,Endo CLDN5 SLC7A5,117,69,58.97435897435897
2,Endo CLDN5 SLC7A5,253,138,54.54545454545455
23,L3-5 RORB MKX GRIN3A,58,29,50.0
28,InN LAMP5 LHX6 TAC1,37,16,43.24324324324324
31,L3-5 RORB GABRG1 KCNH7,23,9,39.130434782608695
30,InN ADARB2 FAM19A1,26,10,38.46153846153846
19,InN PVALB ANOS1,75,28,37.333333333333336
17,Endo CLDN5 SLC7A5,79,28,35.44303797468354
7,InN SST ADAMTSL1,167,54,32.33532934131737
9,L2-3 CUX2 NTNG1 PALMD,121,39,32.231404958677686
25,Oligo MOG OPALIN,50,11,22.0
21,L6 FEZF2 NPFFR2 TPD52L1,71,14,19.718309859154928
13,InN VIP EXPH5,106,20,18.867924528301888
