Cell_Type,MCS
Oligo MOG OPALIN,0.8822280817402768
Endo CLDN5 SLC7A5,0.7103982777179764
Micro P2RY12 APBB1IP,0.7605464480874319
InN SST ADAMTSL1,0.9683832335329342
PC P2RY14 GRM8,0.9314814814814812
Astro AQP4 SLC1A2,0.8809937888198758
L2-3 CUX2 NTNG1 PALMD,0.9431404958677686
Astro GFAP FABP7,0.9125423728813561
L2-3 CUX2 ACVR1C THSD7A,0.9678181818181818
InN VIP EXPH5,0.9613207547169813
OPC PDGFRA PCDH15,0.9615384615384616
InN PVALB ANOS1,0.9650666666666667
L6 FEZF2 NPFFR2 TPD52L1,0.9490140845070424
L3-5 RORB MKX GRIN3A,0.9751724137931034
L6 OPRK1 THEMIS RGS6,0.9615384615384616
Astro GFAP AQP1,0.8677551020408163
InN LAMP5 LHX6 TAC1,0.9772972972972973
InN ADARB2 FAM19A1,0.9623076923076924
L3-5 RORB GABRG1 KCNH7,0.974782608695652
