call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,8592,27,41,1.3953,69.9170,76.7122,59.1833,58.4189,90.7520,9.3447,,0.2336,100,14
2,Exploit,4897,19,28,1.0006,70.3447,77.1891,59.6783,61.0812,88.5948,9.0218,,0.2831,100,15
3,Exploit,1705,69,12,1.5830,72.4184,79.4610,63.5142,62.5812,91.0725,9.4707,,0.1467,100,20
4,Exploit,10089,10,50,1.4262,67.9482,74.5408,53.3498,59.2189,87.9866,9.6485,,0.3292,100,10
5,Exploit,6644,11,11,1.2872,69.3172,76.0409,56.8322,58.6068,90.2979,9.9283,,0.2212,100,16
6,Exploit,4413,14,49,0.8492,67.8916,74.4664,54.0216,57.5142,88.5037,10.2586,,0.2945,100,10
7,Exploit,1155,66,25,1.9748,71.9227,78.9168,64.6279,61.9885,87.9003,9.4153,,0.1544,100,20
8,Exploit,5118,87,37,1.1757,68.1080,74.7205,57.2388,55.3840,88.7546,9.4471,,0.1410,100,14
9,Exploit,340,95,33,1.0781,67.6506,74.1867,54.3928,56.1793,87.8917,10.9878,,0.1067,100,12
10,Exploit,368,31,20,1.5249,69.8922,76.6710,61.6404,58.8538,85.6521,10.0487,,0.1798,100,19
11,Exploit,1667,68,13,1.6483,72.7145,79.7821,64.3097,62.5349,91.2992,9.6978,,0.1481,100,20
12,Exploit,1621,65,15,1.8155,72.5459,79.6062,64.6809,62.2090,90.8806,9.2138,,0.1468,100,20
13,Exploit,10736,64,11,1.7513,72.9668,80.0732,65.0698,64.0123,90.1053,9.0129,,0.1673,100,22
14,Exploit,10736,62,10,1.5525,72.3360,79.3810,64.7870,62.3457,89.7481,8.9332,,0.1794,100,23
15,Exploit,10736,58,18,0.7017,69.7393,76.4957,57.8222,58.0472,91.3660,10.3994,,0.1938,100,16
16,Exploit,10736,67,10,1.9898,72.1886,79.2164,64.4334,62.3474,89.3592,9.0580,,0.1573,100,22
17,Exploit,10736,65,11,1.7297,72.2659,79.3023,63.9915,62.5198,90.1661,9.0162,,0.1748,100,22
18,Exploit,6436,84,10,2.0000,72.3174,79.3627,64.1153,63.0148,89.7403,8.8255,,0.1262,100,22
19,Exploit,10736,76,16,2.0000,71.2942,78.2264,62.4890,60.2278,90.2938,9.3766,,0.1616,100,20
20,Exploit,200,62,10,1.8097,69.1725,75.9009,59.1126,58.6252,87.0306,8.9689,,0.1062,100,19
21,Exploit,5523,82,13,1.8125,72.1214,79.1451,63.4435,61.6340,91.5878,8.9297,,0.1390,100,20
22,Exploit,5062,68,13,1.4498,72.4795,79.5343,63.0193,64.1014,90.2376,9.1612,,0.1603,100,20
23,Exploit,10736,86,11,0.8046,70.0676,76.8657,59.2540,58.6970,90.3695,9.9514,,0.1428,100,18
