call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,6372,27,41,1.3953,59.5198,70.2768,57.0955,56.0882,66.2077,12.0978,,0.0657,95,4
2,Exploit,3655,19,28,1.0006,60.8611,71.8059,57.2779,55.3567,71.6657,13.8163,,0.0794,95,4
3,Exploit,1307,69,12,1.5830,61.0470,72.1151,57.5431,54.0149,76.4572,11.4742,,0.0044,95,6
4,Exploit,7473,10,50,1.4262,59.4535,70.2136,57.3442,54.1943,68.3024,11.6846,,0.0987,95,4
5,Exploit,4940,11,11,1.2872,61.3773,72.4978,57.3110,55.7591,75.7818,11.7369,,0.1151,95,6
6,Exploit,3299,14,49,0.8492,59.3903,70.0725,57.2779,51.4338,69.9880,13.4358,,0.1169,95,4
7,Exploit,902,66,25,1.9748,61.0400,72.0185,57.4271,54.1315,74.0019,13.8163,,0.0205,95,4
8,Exploit,3817,87,37,1.1757,59.1981,69.8984,57.4436,51.2542,70.5068,11.9940,,0.0317,95,4
9,Exploit,303,95,33,1.0781,62.2189,73.4195,57.1286,58.7180,74.2977,13.8163,,-0.0003,95,4
10,Exploit,324,31,20,1.5249,61.7351,72.8602,57.5265,55.7288,75.6649,13.4030,,0.0251,95,4
11,Exploit,200,91,32,1.0578,62.4264,73.6798,56.9297,58.5904,76.1370,13.4539,,-0.0030,95,4
12,Exploit,200,88,31,1.0413,61.9769,73.1771,57.2613,58.6841,74.1583,12.6164,,0.0013,95,5
13,Exploit,200,95,32,1.0553,63.0031,74.3652,56.9297,60.3125,76.8615,13.4539,,0.0001,95,4
14,Exploit,200,15,25,0.5000,61.7137,72.8659,57.6260,54.9429,77.3647,12.5757,,0.0965,95,5
15,Exploit,200,79,43,0.5000,63.2140,74.7080,56.7805,62.3108,78.1154,11.0086,,0.0609,95,4
16,Exploit,200,100,49,0.5000,63.0851,74.5757,56.6147,62.2470,78.3328,10.4533,,0.0337,95,4
17,Exploit,200,10,50,0.5000,57.8827,68.3650,56.6810,49.7578,67.7881,11.2017,,0.1207,95,4
18,Exploit,200,93,45,0.5000,63.2656,74.7901,56.6147,63.1848,78.0874,10.4533,,0.0362,95,4
