Cell_Type,MCS,Top_50_Markers
B_immature,0.946794871794872,"TCL1A, AFF3, IGHD, PAX5, MS4A1, EBF1, CD79B, NIBAN3, IGHM, RALGPS2, CD79A, FCRL1, PLEKHG1, ZCCHC7, STRBP, CD37, CAMK2D, CD74, BACH2, GNG7, TPD52, FCHSD2, SIPA1L3, BANK1, CDK14, AUTS2, OSBPL10, PIP5K1B, CAMK1D, PLEKHA2, HVCN1, SWAP70, HLA-DQA1, BLNK, PCDH9, CD22, LINC00926, KHDRBS2, FCRL2, TCF4, EIF2AK3, PLCG2, BLK, MEF2C, ANGPTL1, SNX29, HLA-DRB1, BCL7A, HLA-DPB1, UVRAG"
Platelets,0.9181208053691274,"PF4, NRGN, TUBB1, PPBP, GP1BB, CAVIN2, GNG11, GPX1, TAGLN2, CLU, OAZ1, CCL5, SPARC, TMSB4X, SH3BGRL3, ITGA2B, TUBA4A, H2AC6, NCOA4, ITGB3, RGS10, MAP3K7CL, CDKN2D, RGS18, PRKAR2B, GP9, PGRMC1, CTSA, FTH1, ACTB, TLN1, CMTM5, OST4, TREML1, MYL6, ACRBP, MYL12A, CD9, ODC1, F13A1, TGFB1, GNAS, LIMS1, FERMT3, CALM3, HLA-E, TSPAN33, MYL9, ARPC1B, H3-3A"
gdT,0.8722535211267606,"CCL5, TRDC, A2M, NKG7, KLRG1, CD247, SAMD3, KLRD1, SYNE2, NCALD, GZMA, RORA, CST7, IL32, PZP, KLRK1, CTSW, GZMK, CBLB, KLRB1, TGFBR3, STAT4, ZBTB16, HCST, SYNE1, TCP10L, TC2N, HOPX, GZMM, LYAR, PPP2R5C, PARP8, LINC00987, DUSP2, SYTL2, MYBL1, TRGC2, SKAP1, PRKCH, CD3D, CD3E, PIP4K2A, PYHIN1, GNLY, CD7, KLF12, PLCB1, MALAT1, A2M-AS1, PRF1"
B_malignant,0.9082882882882882,"FCRL1, LINC00926, PAX5, EBF1, MS4A1, BANK1, NIBAN3, RALGPS2, AFF3, IGHM, COL19A1, BLK, TPD52, CD79A, IGHD, PLEKHG1, ADAM28, GNG7, OSBPL10, BACH2, CD22, SEL1L3, STRBP, SIPA1L3, SWAP70, TNFRSF13C, CDK14, CD79B, BLNK, AUTS2, HLA-DQA1, CD37, ZCCHC7, BCL11A, KHDRBS2, PALM2AKAP2, MARCHF3, RUBCNL, ARHGAP24, RRAS2, FCMR, FCRL5, IKZF3, LARGE1, COBLL1, FCHSD2, STAP1, ADAM19, P2RX5, WDFY4"
pDC,0.9903614457831326,"CUX2, TCF4, ENSG00000225885, LILRA4, UGCG, RHEX, CCDC50, PLD4, IRF8, LINC01374, APP, ZFAT, RUNX2, JCHAIN, IL3RA, CLEC4C, PTPRS, ITM2C, DNASE1L3, IRF7, GZMB, PDE4B, MZB1, LINC01478, PPP1R14B, MAPKAPK2, FHIP1A, SEC61B, PLAC8, C12orf75, PHEX, PACSIN1, COL24A1, HSP90B1, SERPINF1, FCHSD2, BCL11A, NAPSB, RABGAP1L, DERL3, GRAMD1B, COL26A1, CD2AP, SULF2, FLT3, NPC2, TNFRSF21, SPCS1, RGS7, CCDC88A"
CD83_CD14_mono,0.932463768115942,"FCRL1, PAX5, MS4A1, AFF3, BANK1, RALGPS2, GNG7, OSBPL10, EBF1, IGHM, BLK, WDFY4, STRBP, CDK14, PLEKHG1, LINC00926, NIBAN3, CD79A, ARHGAP24, BCL11A, HVCN1, MEF2C, CD22, SWAP70, CD79B, IGKC, TPD52, S100A8, FCHSD2, FCRL2, PLCG2, STX7, TCL1A, MARCHF1, COL19A1, AUTS2, COBLL1, SIPA1L3, S100A9, IGHD, LYN, MPEG1, VCAN, KHDRBS2, S100A12, RUBCNL, HLA-DQA1, TCF4, ZCCHC7, DUSP1"
NK_56hi,0.864242424242424,"NCALD, CD7, CTSW, IFITM1, TRDC, ATP8B4, SAMD3, IFITM2, GNLY, HOPX, XCL1, JAK1, KLRD1, NCAM1, LINC00299, KLRC1, RUNX2, XCL2, IL2RB, KLRF1, KLRK1, NKG7, ZMAT4, MCTP2, PRF1, SMYD3, KLRB1, TXK, MATK, PLAC8, SYTL3, VAV3, RAP1GAP2, RAP1B, HIP1, TSPOAP1-AS1, IL18R1, SELL, CD63, CMC1, CBLB, CD300A, AKT3, ID2, TGFBR3, HSH2D, RNF125, IL12RB2, RABGAP1L, HCST"
HSC_CD38pos,0.9446153846153846,"NKAIN2, RNF220, MSRB3, CDK6, PRSS57, MEIS1, MED12L, ANKRD28, MSI2, SNHG29, GAS5, SOX4, CYTL1, ERG, CASC15, HTR1F, ATP8B4, ITGA9, ZNF521, DACH1, RPS24, ANGPT1, COL24A1, EBPL, GIHCG, GUCY1A1, LAPTM4B, MAP7, ZFAS1, ENSG00000289364, CD34, ELMO1, ZNF385D, CRACD, EMID1, PRKG1, PBX1, ABO, DEPTOR, RPLP0, ST8SIA6, NRIP1, FAM117A, NPM1, CD109, STMN1, HNRNPA1, ETV6, PROM1, IGF2BP2"
NK_prolif,0.9772727272727272,"PCLAF, TYMS, RRM2, STMN1, PCNA, FANCI, HMGB2, BRIP1, MCM7, TUBA1B, HMGN2, TUBB, ATAD2, DIAPH3, CLSPN, CENPP, DTL, ASF1B, NASP, FEN1, HMGB1, NCAPG2, MCM5, NSD2, TMPO, TOP2A, ZNF367, MKI67, DNMT1, PTMA, CENPK, H2AZ2, DUT, RAN, ATAD5, EZH2, H2AZ1, DHFR, DEK, WDR62, ANP32B, CFL1, KNL1, NUSAP1, LIG1, MAD2L1, CORO1A, RPA3, COX8A, EBP"
Plasma_cell_IgA,0.9652631578947367,"TXNDC5, MZB1, SUB1, SSR4, IGHA1, SEC11C, HSP90B1, ITM2C, UBE2J1, SPCS2, PPIB, TNFRSF17, SSR3, SEC61B, JCHAIN, ISG20, TXNDC11, DERL3, PDIA4, PDIA6, FKBP11, CLPTM1L, XBP1, SPATS2, SDF2L1, CALR, SELENOS, MAN1A1, CPNE5, DENND5B, MYO1D, SPCS1, EAF2, LINC02384, ELL2, RASGRP3, RABAC1, IRF4, SEC24D, ESR1, ANKRD36BP2, GNG7, POU2AF1, MANEA, NUGGC, TNFRSF13B, OSTC, ENSG00000287092, HM13, PRDM1"
DC1,1.0,"CLEC9A, WDFY4, HLA-DPA1, C1orf54, CLNK, HLA-DPB1, CST3, FLT3, CPVL, BATF3, HLA-DRB1, IDO1, CCSER1, NAPSB, IDO2, SNX3, MIR924HG, NEGR1, CADM1, ZNF366, HLA-DRA, CPNE3, IRF8, P2RY6, HLA-DQB1, CD74, SHTN1, HLA-DQA1, HLA-DRB6, HLA-DQA2, HDAC9, CCDC26, HLA-DRB5, HLA-DMA, ZBTB46, VAC14, GSTP1, CCDC126, RGS10, BASP1, LGMN, ACTG1, TSPAN33, RHEX, FNIP2, S100A10, DST, PPM1H, PIK3CB, SLAMF7"
