call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,7053,27,41,1.3953,57.5658,68.1953,48.5582,46.2974,83.9857,11.3842,,0.0916,98,9
2,Exploit,4036,19,28,1.0006,57.2285,67.8319,48.9649,47.3611,80.6198,10.3775,,0.1420,98,10
3,Exploit,1429,69,12,1.5830,59.2729,70.2500,50.2773,50.1337,85.1963,10.8803,,0.0553,98,13
4,Exploit,8275,10,50,1.4262,56.3467,66.7384,46.8577,45.8749,80.2373,11.4714,,0.1408,98,7
5,Exploit,5463,11,11,1.2872,60.5128,71.6975,50.5730,53.9737,84.7952,11.6801,,0.1529,98,11
6,Exploit,3640,14,49,0.8492,57.7609,68.4469,47.8373,48.7935,82.6249,10.8893,,0.1534,98,8
7,Exploit,980,66,25,1.9748,57.2745,67.8686,48.4288,46.9770,81.8929,10.8475,,0.0405,98,10
8,Exploit,4216,87,37,1.1757,58.4817,69.2833,48.2070,48.0753,86.8752,11.4876,,0.0619,98,9
9,Exploit,314,95,33,1.0781,53.3477,63.1544,40.3142,41.6968,81.3771,11.6928,,0.0202,98,8
10,Exploit,337,31,20,1.5249,56.3750,66.8235,45.4898,46.8877,82.6459,10.1368,,0.0453,98,12
11,Exploit,5467,15,16,1.1927,58.5462,69.4309,51.2384,49.2364,82.2924,9.6486,,0.1509,98,11
12,Exploit,4613,37,10,1.6449,60.5640,71.8636,52.4769,53.3334,86.1510,8.9476,,0.0850,98,17
13,Exploit,5275,22,10,1.4683,60.5205,71.7603,51.5527,54.1327,84.5862,10.2850,,0.1132,98,12
14,Exploit,3559,60,11,1.9322,60.1988,71.4184,51.8854,52.3086,86.3480,9.2049,,0.0730,98,16
15,Exploit,6477,10,11,0.9494,59.7507,70.8059,50.2773,51.6556,85.0648,11.2379,,0.1622,98,9
16,Exploit,5000,19,11,1.4724,60.8840,72.2105,51.2015,56.1282,84.7037,9.8467,,0.1229,98,13
17,Exploit,4878,21,11,1.5205,60.1288,71.3046,51.0721,53.0658,85.1300,9.9929,,0.1221,98,13
18,Exploit,6047,29,10,1.9125,60.9508,72.2974,52.1811,54.9240,85.5386,9.6593,,0.1060,98,15
19,Exploit,6109,17,10,2.0000,60.9699,72.3181,51.9593,53.9447,87.5125,9.7134,,0.1263,98,13
20,Exploit,6220,10,10,2.0000,60.2922,71.5047,50.9797,53.3770,85.9100,9.8520,,0.1503,98,12
21,Exploit,5185,100,10,2.0000,59.6748,70.7873,52.0333,50.6748,85.5353,9.3681,,0.0530,98,16
22,Exploit,4826,10,10,1.9375,59.5725,70.6453,51.2569,52.0429,83.3479,9.8877,,0.1647,98,12
23,Exploit,6951,10,10,1.7607,59.4962,70.5591,50.9242,53.1600,81.8346,9.7656,,0.1474,98,11
24,Exploit,5696,39,10,2.0000,60.6522,71.9791,52.4769,52.5595,88.2644,8.6814,,0.0869,98,17
25,Exploit,5649,42,11,2.0000,59.8692,71.0414,52.2551,52.1343,84.5824,8.7868,,0.0824,98,18
26,Exploit,4158,10,10,1.1366,60.6731,71.8823,50.6470,53.4405,86.2684,11.8439,,0.1731,98,11
27,Exploit,4872,69,10,1.0018,60.8068,72.0897,50.3882,54.3097,87.5910,10.5945,,0.0708,98,11
28,Exploit,3345,44,10,1.1495,59.8309,70.9686,50.1294,52.3767,86.6810,9.4932,,0.0918,98,14
29,Exploit,5033,10,10,1.0551,60.4747,71.6953,50.6839,54.0001,85.6584,10.5566,,0.1872,98,11
30,Exploit,2385,64,10,2.0000,60.8560,72.2064,52.4214,53.9649,86.7768,9.0856,,0.0679,98,18
