Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
10,OPC PDGFRA PCDH15,24,24,100.0
8,Micro P2RY12 APBB1IP,45,40,88.88888888888889
4,Oligo MOG OPALIN,162,134,82.71604938271605
9,Endo CLDN5 SLC7A5,41,32,78.04878048780488
1,Endo CLDN5 SLC7A5,334,249,74.55089820359281
3,Endo CLDN5 SLC7A5,185,135,72.97297297297297
6,Endo CLDN5 SLC7A5,68,48,70.58823529411765
0,Endo CLDN5 SLC7A5,2375,1576,66.3578947368421
2,Endo CLDN5 SLC7A5,241,139,57.67634854771784
7,Astro AQP4 SLC1A2,57,24,42.10526315789474
5,Endo CLDN5 SLC7A5,76,24,31.57894736842105
