Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,24,24,100.0
Micro P2RY12 APBB1IP,45,40,88.88888888888889
Oligo MOG OPALIN,162,134,82.71604938271605
Endo CLDN5 SLC7A5,3320,2203,66.355421686747
Astro AQP4 SLC1A2,57,24,42.10526315789474
