Cell_Type,MCS
Endo CLDN5 SLC7A5,0.7635602409638554
Oligo MOG OPALIN,0.9198765432098766
Astro AQP4 SLC1A2,0.7614035087719297
Micro P2RY12 APBB1IP,0.8039999999999999
OPC PDGFRA PCDH15,0.9258333333333334
