Cell_Type,MCS
Endo CLDN5 SLC7A5,0.7226384692849951
Oligo MOG OPALIN,0.9316525423728812
L2-3 CUX2 ACVR1C THSD7A,0.9751162790697674
L3-5 RORB MKX DCC,0.9483333333333335
Astro AQP4 SLC1A2,0.8612149532710279
InN PVALB HPSE,0.9427411167512689
PC P2RY14 GRM8,0.8720833333333333
L2-3 CUX2 NTNG1 PALMD,0.9523243243243243
Micro P2RY12 APBB1IP,0.7911656441717793
Astro GFAP FABP7,0.9245390070921986
InN SST HS3ST5,0.9779411764705883
InN SST FREM1,0.9588333333333332
L3-5 RORB GABRG1 KCNH7,0.9509803921568628
InN LAMP5 RELN,0.9346666666666665
OPC PDGFRA PCDH15,0.9673333333333332
L2-4 CUX2 RORB CLMN,0.9714942528735631
InN VIP CLSTN2,0.9505128205128205
L6 OPRK1 THEMIS RGS6,0.9418181818181819
InN LAMP5 BMP7,0.9823728813559321
L6 FEZF2 NPFFR2 TPD52L1,0.9789285714285714
InN VIP EXPH5,0.983111111111111
L3-5 RORB PCBP3 IL1RAPL2,0.9661111111111111
L5-6 FEZF2 NXPH2 CDH8,0.9767741935483872
SMC ACTA2 CNN1,0.8225806451612905
