Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,90,90,100.0
SMC ACTA2 CNN1,31,30,96.7741935483871
L2-3 CUX2 ACVR1C THSD7A,258,246,95.34883720930233
Astro GFAP FABP7,141,132,93.61702127659575
InN VIP EXPH5,45,42,93.33333333333333
Astro AQP4 SLC1A2,214,197,92.05607476635514
PC P2RY14 GRM8,192,165,85.9375
Oligo MOG OPALIN,472,398,84.32203389830508
Micro P2RY12 APBB1IP,163,124,76.07361963190183
L2-4 CUX2 RORB CLMN,87,62,71.26436781609195
Endo CLDN5 SLC7A5,993,673,67.77442094662638
L6 OPRK1 THEMIS RGS6,66,43,65.15151515151516
L3-5 RORB PCBP3 IL1RAPL2,36,21,58.333333333333336
L2-3 CUX2 NTNG1 PALMD,185,96,51.891891891891895
InN SST HS3ST5,136,70,51.470588235294116
L5-6 FEZF2 NXPH2 CDH8,31,15,48.38709677419355
InN LAMP5 BMP7,59,28,47.45762711864407
L3-5 RORB GABRG1 KCNH7,102,45,44.11764705882353
L3-5 RORB MKX DCC,228,96,42.10526315789474
L6 FEZF2 NPFFR2 TPD52L1,56,22,39.285714285714285
InN VIP CLSTN2,78,26,33.333333333333336
InN PVALB HPSE,197,60,30.456852791878173
InN SST FREM1,120,33,27.5
InN LAMP5 RELN,90,18,20.0
