Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
20,OPC PDGFRA PCDH15,90,90,100.0
11,Oligo MOG OPALIN,121,120,99.17355371900827
30,Endo CLDN5 SLC7A5,36,35,97.22222222222223
33,SMC ACTA2 CNN1,31,30,96.7741935483871
1,L2-3 CUX2 ACVR1C THSD7A,258,246,95.34883720930233
25,Oligo MOG OPALIN,61,58,95.08196721311475
14,PC P2RY14 GRM8,108,102,94.44444444444444
9,Astro GFAP FABP7,141,132,93.61702127659575
29,InN VIP EXPH5,45,42,93.33333333333333
13,Astro AQP4 SLC1A2,115,107,93.04347826086956
7,Oligo MOG OPALIN,184,171,92.93478260869566
17,Astro AQP4 SLC1A2,99,90,90.9090909090909
18,Endo CLDN5 SLC7A5,96,82,85.41666666666667
4,Endo CLDN5 SLC7A5,201,162,80.59701492537313
8,Micro P2RY12 APBB1IP,163,124,76.07361963190183
22,PC P2RY14 GRM8,84,63,75.0
21,L2-4 CUX2 RORB CLMN,87,62,71.26436781609195
24,L6 OPRK1 THEMIS RGS6,66,43,65.15151515151516
0,Endo CLDN5 SLC7A5,386,236,61.13989637305699
27,Endo CLDN5 SLC7A5,57,34,59.64912280701754
31,L3-5 RORB PCBP3 IL1RAPL2,36,21,58.333333333333336
3,Endo CLDN5 SLC7A5,217,124,57.142857142857146
6,L2-3 CUX2 NTNG1 PALMD,185,96,51.891891891891895
10,InN SST HS3ST5,136,70,51.470588235294116
32,L5-6 FEZF2 NXPH2 CDH8,31,15,48.38709677419355
26,InN LAMP5 BMP7,59,28,47.45762711864407
15,Oligo MOG OPALIN,106,49,46.22641509433962
16,L3-5 RORB GABRG1 KCNH7,102,45,44.11764705882353
2,L3-5 RORB MKX DCC,228,96,42.10526315789474
28,L6 FEZF2 NPFFR2 TPD52L1,56,22,39.285714285714285
23,InN VIP CLSTN2,78,26,33.333333333333336
5,InN PVALB HPSE,197,60,30.456852791878173
12,InN SST FREM1,120,33,27.5
19,InN LAMP5 RELN,90,18,20.0
