Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
gdT,878,469,53.416856492027335
NKT,239,116,48.53556485355649
CD8.Naive,151,60,39.735099337748345
CD4.Prolif,23,9,39.130434782608695
HSC_CD38pos,26,10,38.46153846153846
DC3,186,71,38.17204301075269
CD8.Prolif,267,80,29.9625468164794
Treg,108,27,25.0
