Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
16,gdT,59,45,76.27118644067797
12,gdT,76,53,69.73684210526316
0,gdT,189,110,58.2010582010582
3,gdT,135,78,57.77777777777778
15,gdT,64,34,53.125
8,gdT,89,46,51.68539325842696
5,NKT,109,56,51.37614678899082
7,gdT,99,49,49.494949494949495
4,NKT,130,60,46.15384615384615
13,CD8.Prolif,72,29,40.27777777777778
2,CD8.Naive,151,60,39.735099337748345
17,CD8.Prolif,38,15,39.473684210526315
19,CD4.Prolif,23,9,39.130434782608695
18,HSC_CD38pos,26,10,38.46153846153846
1,DC3,186,71,38.17204301075269
10,gdT,86,29,33.72093023255814
11,gdT,81,25,30.864197530864196
14,CD8.Prolif,70,20,28.571428571428573
6,Treg,108,27,25.0
9,CD8.Prolif,87,16,18.39080459770115
