,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
1536,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
1537,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1538,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1539,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1540,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
1541,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
1542,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1543,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1544,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1545,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1546,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1547,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1548,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1549,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
1550,CD8.Naive,CD8.Naive,Gamma delta(γδ) t cell,11.594202898550725,Naive cd8+ t cell,11.042944785276072,Cd8+ t cell,10.638297872340427
1551,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
1552,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1553,DC3,DC3,Myeloid cell,24.719101123595507,Monocyte,21.794871794871792,Cd1c+_b dendritic cell,20.754716981132074
1554,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1555,CD8.Naive,CD8.Naive,Gamma delta(γδ) t cell,11.594202898550725,Naive cd8+ t cell,11.042944785276072,Cd8+ t cell,10.638297872340427
1556,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1557,CD8.Naive,CD8.Naive,Gamma delta(γδ) t cell,11.594202898550725,Naive cd8+ t cell,11.042944785276072,Cd8+ t cell,10.638297872340427
1558,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
1559,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1560,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1561,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1562,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
1563,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1564,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1565,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1566,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
1567,DC3,DC3,Myeloid cell,24.719101123595507,Monocyte,21.794871794871792,Cd1c+_b dendritic cell,20.754716981132074
1568,DC3,DC3,Myeloid cell,24.719101123595507,Monocyte,21.794871794871792,Cd1c+_b dendritic cell,20.754716981132074
1569,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1570,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1571,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1572,DC3,DC3,Myeloid cell,24.719101123595507,Monocyte,21.794871794871792,Cd1c+_b dendritic cell,20.754716981132074
1573,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1574,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1575,CD8.Naive,CD8.Naive,Gamma delta(γδ) t cell,11.594202898550725,Naive cd8+ t cell,11.042944785276072,Cd8+ t cell,10.638297872340427
1576,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1577,NKT,NKT,Cytotoxic cd8+ t cell,26.666666666666668,Cytotoxic t cell,22.950819672131146,Memory cd8+ t cell,21.53846153846154
1578,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
1579,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1580,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1581,CD4.Prolif,CD4.Prolif,Cycling cell,7.6923076923076925,Proliferative lymphocyte,7.6923076923076925,Granulocyte-monocyte progenitor,4.761904761904762
1582,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1583,Treg,Treg,Regulatory t (treg) cell,22.857142857142858,Regulatory t(treg) cell,18.18181818181818,Natural regulatory t cell,13.114754098360654
1584,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1585,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1586,gdT,gdT,Effector memory t cell,6.0606060606060606,Il-17ralpha t cell,3.9215686274509802,Naive regulatory t (treg) cell,3.7735849056603774
1587,CD8.Prolif,CD8.Prolif,Immature b cell,19.35483870967742,B cell,18.84057971014493,Mature b cell,17.54385964912281
