Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Endo CLDN5 SLC7A5,Excitatory neuron,10.0,27.77777777777778,14.705882352941178,7.936507936507936,5,50,18,Neuron,22.0,6.358381502890173,9.865470852017937,5.188679245283019,11,50,173,Neurons,14.000000000000002,3.4482758620689653,5.533596837944663,2.8455284552845526,7,50,203
L6 FEZF2 SYT6 PTPRT,Lake et al.science.ex6,8.0,11.76470588235294,9.523809523809526,5.0,4,50,34,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
Astro AQP4 SLC1A2,Astrocyte,24.0,5.741626794258373,9.266409266409266,4.8582995951417,12,50,209,Astrocytes,8.0,6.349206349206349,7.079646017699115,3.669724770642202,4,50,63,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
Astro GFAP AQP1,Astrocyte,24.0,5.741626794258373,9.266409266409266,4.8582995951417,12,50,209,Stem cell,6.0,13.043478260869565,8.21917808219178,4.285714285714286,3,50,23,Satellite glial cells,4.0,8.333333333333332,5.405405405405405,2.7777777777777777,2,50,24
Oligo MOG OPALIN,Oligodendrocytes,12.0,6.8181818181818175,8.695652173913043,4.545454545454546,6,50,88,Oligodendrocyte,18.0,4.918032786885246,7.725321888412016,4.017857142857143,9,50,183,Mature oligodendrocyte,4.0,40.0,7.2727272727272725,3.7735849056603774,2,50,5
InN VIP EXPH5,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Retinal ganglion cells,8.0,5.797101449275362,6.722689075630252,3.4782608695652173,4,50,69,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173
InN SST HTR2C,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34,Purkinje neurons,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69
T SKAP1 CD247,Lymphocyte,4.0,20.0,6.666666666666667,3.4482758620689653,2,50,10,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28,Cancer stem cell,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
Oligo MOG GSN,Oligodendrocyte,14.000000000000002,3.825136612021858,6.008583690987125,3.0973451327433628,7,50,183,Oligodendrocytes,8.0,4.545454545454546,5.797101449275362,2.9850746268656714,4,50,88,Cancer cell,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
PC P2RY14 GRM8,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34,Cancer cell,4.0,4.878048780487805,4.395604395604397,2.247191011235955,2,50,41
Micro P2RY12 APBB1IP,Microglia,6.0,4.225352112676056,4.958677685950414,2.5423728813559325,3,50,71,A1 astrocyte,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2,Lake et al.science.ex8,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
L3-5 RORB MKX GRIN3A,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Excitatory neuron,2.0,5.555555555555555,2.941176470588235,1.4925373134328357,1,50,18
L2-3 CUX2 ACVR1C THSD7A,Neuron,10.0,2.8901734104046244,4.484304932735426,2.293577981651376,5,50,173,Interneurons,10.0,2.3041474654377883,3.7453183520599254,1.9083969465648856,5,50,217,Glutamatergic neuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4
