,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
1991,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
1992,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
1993,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,4.958677685950414,A1 astrocyte,3.8461538461538463,Lake et al.science.ex8,3.669724770642202
1994,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
1995,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
1996,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
1997,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocyte,9.266409266409266,Astrocytes,7.079646017699115,Bergmann glia,6.593406593406592
1998,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
1999,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
2000,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2001,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2002,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2003,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2004,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2005,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2006,L3-5 RORB MKX GRIN3A,L3-5 RORB MKX GRIN3A,Cajal-retzius cells,4.687500000000001,Somatostatin interneuron,3.6363636363636362,Excitatory neuron,2.941176470588235
2007,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2008,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2009,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
2010,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,4.958677685950414,A1 astrocyte,3.8461538461538463,Lake et al.science.ex8,3.669724770642202
2011,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2012,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2013,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2014,Oligo MOG GSN,Oligo MOG GSN,Oligodendrocyte,6.008583690987125,Oligodendrocytes,5.797101449275362,Cancer cell,4.395604395604397
2015,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2016,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2017,PC P2RY14 GRM8,PC P2RY14 GRM8,Pericyte,5.797101449275362,Lake et al.science.ex6,4.761904761904763,Cancer cell,4.395604395604397
2018,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2019,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Lake et al.science.ex6,9.523809523809526,Pan-neuronal cell,3.7037037037037033,Somatostatin interneuron,3.6363636363636362
2020,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2021,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2022,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2023,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2024,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
2025,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2026,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2027,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2028,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
2029,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2030,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2031,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,4.958677685950414,A1 astrocyte,3.8461538461538463,Lake et al.science.ex8,3.669724770642202
2032,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Excitatory neuron,14.705882352941178,Neuron,9.865470852017937,Neurons,5.533596837944663
2033,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,8.695652173913043,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725
