Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
9,OPC PDGFRA PCDH15,106,106,100.0
27,T SKAP1 CD247,9,9,100.0
26,Oligo MOG OPALIN,17,17,100.0
0,Oligo MOG OPALIN,282,280,99.29078014184397
1,Oligo MOG OPALIN,241,238,98.7551867219917
2,Oligo MOG OPALIN,233,226,96.99570815450643
3,Oligo MOG OPALIN,214,207,96.72897196261682
8,Oligo MOG OPALIN,108,103,95.37037037037037
12,Endo CLDN5 SLC7A5,82,77,93.90243902439025
13,Oligo MOG OPALIN,80,74,92.5
11,Endo CLDN5 SLC7A5,87,80,91.95402298850574
4,Endo CLDN5 SLC7A5,155,141,90.96774193548387
7,Endo CLDN5 SLC7A5,122,105,86.06557377049181
23,Endo CLDN5 SLC7A5,25,21,84.0
18,Oligo MOG GSN,37,31,83.78378378378379
19,Endo CLDN5 SLC7A5,34,25,73.52941176470588
14,Astro GFAP AQP1,74,52,70.27027027027027
5,Astro AQP4 SLC1A2,137,92,67.15328467153284
25,PC P2RY14 GRM8,21,13,61.904761904761905
15,Endo CLDN5 SLC7A5,58,34,58.62068965517241
24,Endo CLDN5 SLC7A5,21,11,52.38095238095238
10,Micro P2RY12 APBB1IP,95,49,51.578947368421055
6,Endo CLDN5 SLC7A5,129,64,49.6124031007752
16,L3-5 RORB MKX GRIN3A,52,21,40.38461538461539
17,L2-3 CUX2 ACVR1C THSD7A,48,18,37.5
20,L6 FEZF2 SYT6 PTPRT,33,10,30.303030303030305
22,InN VIP EXPH5,31,5,16.129032258064516
21,InN SST HTR2C,32,5,15.625
