,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
0,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
2,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
3,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
4,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
5,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
6,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
7,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
8,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,9.917355371900827,Lake et al.science.ex8,5.5045871559633035,Activated cd8+ t cell,3.9215686274509802
9,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
10,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
11,Astro GFAP AQP1,Astro GFAP AQP1,Radial glia cells,9.375,Astrocyte,9.266409266409266,Glial cell,7.142857142857142
12,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
13,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
14,Astro GFAP AQP1,Astro GFAP AQP1,Radial glia cells,9.375,Astrocyte,9.266409266409266,Glial cell,7.142857142857142
15,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
16,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
17,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
18,Oligo MOG GSN,Oligo MOG GSN,Oligodendrocytes,8.695652173913043,Lake et al.science.ex6,4.761904761904763,Ventricular radial glial cell,3.8461538461538463
19,Oligo MOG GSN,Oligo MOG GSN,Oligodendrocytes,8.695652173913043,Lake et al.science.ex6,4.761904761904763,Ventricular radial glial cell,3.8461538461538463
20,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
21,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
22,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
23,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
24,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
25,Astro GFAP AQP1,Astro GFAP AQP1,Radial glia cells,9.375,Astrocyte,9.266409266409266,Glial cell,7.142857142857142
26,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
27,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
28,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocyte,7.725321888412016,Mature oligodendrocyte,7.2727272727272725,Oligodendrocytes,7.246376811594203
29,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
30,Astro GFAP AQP1,Astro GFAP AQP1,Radial glia cells,9.375,Astrocyte,9.266409266409266,Glial cell,7.142857142857142
31,Endo CLDN5 IL1R1,Endo CLDN5 IL1R1,Retinal ganglion cells,8.403361344537815,Purkinje neurons,7.339449541284404,Glutaminergic neurons,6.666666666666667
32,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
33,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
34,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
