Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
0,OPC PDGFRA PCDH15,211,211,100.0
2,OPC PDGFRA PCDH15,112,112,100.0
11,Oligo MOG GSN,30,30,100.0
9,OPC PDGFRA PCDH15,52,52,100.0
15,T SKAP1 CD247,16,16,100.0
14,OPC PDGFRA PCDH15,19,19,100.0
3,Oligo MOG OPALIN,98,95,96.93877551020408
6,Oligo MOG OPALIN,93,83,89.24731182795699
1,Endo CLDN5 IL1R1,129,107,82.94573643410853
8,Oligo MOG OPALIN,65,47,72.3076923076923
4,Oligo MOG OPALIN,96,65,67.70833333333333
13,PC P2RY14 GRM8,21,14,66.66666666666667
10,Micro P2RY12 APBB1IP,37,23,62.16216216216216
7,Astro GFAP AQP1,76,40,52.63157894736842
5,Endo CLDN5 IL1R1,95,39,41.05263157894737
12,L2-3 CUX2 ACVR1C THSD7A,27,7,25.925925925925927
