Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,394,394,100.0
T SKAP1 CD247,16,16,100.0
Oligo MOG GSN,30,30,100.0
Oligo MOG OPALIN,352,290,82.38636363636364
PC P2RY14 GRM8,21,14,66.66666666666667
Endo CLDN5 IL1R1,224,146,65.17857142857143
Micro P2RY12 APBB1IP,37,23,62.16216216216216
Astro GFAP AQP1,76,40,52.63157894736842
L2-3 CUX2 ACVR1C THSD7A,27,7,25.925925925925927
