,AssignedType
Astro GFAP AQP1,Radial glia cells
Endo CLDN5 IL1R1,Retinal ganglion cells
L2-3 CUX2 ACVR1C THSD7A,Excitatory neuron
Micro P2RY12 APBB1IP,Microglia
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell
Oligo MOG GSN,Oligodendrocytes
Oligo MOG OPALIN,Oligodendrocyte
PC P2RY14 GRM8,Pericyte
T SKAP1 CD247,Lymphocyte
