call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,7960,27,41,1.3953,74.1987,78.3909,65.7472,58.0690,88.1959,11.0748,,0.3223,100,13
2,Exploit,4543,19,28,1.0006,74.2362,78.4375,66.3988,58.6242,87.2542,10.4839,,0.3607,100,15
3,Exploit,1592,69,12,1.5830,75.5009,79.7918,68.8532,61.6899,87.0122,9.1069,,0.1058,100,20
4,Exploit,9343,10,50,1.4262,73.5479,77.7063,62.3154,59.5121,87.9074,10.7185,,0.2980,100,11
5,Exploit,6159,11,11,1.2872,75.8526,80.1579,67.0070,63.7308,87.7140,9.6292,,0.2436,100,13
6,Exploit,4095,14,49,0.8492,73.0481,77.1689,62.7063,58.3113,85.9710,11.4542,,0.3799,100,10
7,Exploit,1083,66,25,1.9748,75.2618,79.5352,67.6368,60.7231,88.5191,9.4237,,0.1647,100,16
8,Exploit,4747,87,37,1.1757,70.6867,74.6804,59.8175,53.0154,87.4492,10.5603,,0.1758,100,13
9,Exploit,329,95,33,1.0781,65.0343,68.6894,50.7168,46.8425,81.9051,11.3642,,0.0838,100,12
10,Exploit,356,31,20,1.5249,74.7595,79.0038,67.0504,60.0394,87.8829,9.4021,,0.1325,100,17
11,Exploit,6232,11,10,1.2996,76.2407,80.5539,66.6594,65.5434,86.3623,10.8930,,0.2349,100,12
12,Exploit,9942,72,50,0.5000,70.1302,74.0743,58.5143,51.8986,86.8783,12.0254,,0.2301,100,10
13,Exploit,2841,48,10,1.6776,76.3546,80.6929,68.9618,64.2760,87.1222,9.3096,,0.1720,100,18
14,Exploit,3169,51,10,1.6854,76.7925,81.1526,69.2224,64.2024,88.6545,9.6264,,0.1301,100,21
15,Exploit,4432,62,10,1.7190,77.5099,81.9107,71.0035,64.7291,88.9678,9.7254,,0.1355,100,21
16,Exploit,5775,68,10,1.7449,76.3593,80.6942,68.8749,63.6854,87.7594,9.6315,,0.1078,100,20
17,Exploit,4193,60,10,2.0000,76.2978,80.6268,68.4188,63.8384,87.6596,9.8243,,0.1221,100,19
18,Exploit,4489,59,10,1.6225,77.5288,81.9333,70.3084,65.0658,89.6825,9.5031,,0.1243,100,19
19,Exploit,4500,59,10,1.6124,76.9705,81.3433,69.8306,64.6561,88.2899,9.4226,,0.1241,100,20
20,Exploit,6505,56,10,1.5846,76.6772,81.0268,68.7880,64.0720,88.5413,9.9476,,0.1327,100,18
21,Exploit,3743,10,10,2.0000,76.6330,80.9885,67.8106,64.3526,89.9051,9.2277,,0.2188,100,15
22,Exploit,4870,10,10,1.6816,76.4731,80.8120,67.2676,65.9712,87.0650,9.8557,,0.2334,100,13
23,Exploit,200,10,10,2.0000,73.0552,77.1975,59.9913,62.3597,85.8014,9.6373,,0.1481,100,13
24,Exploit,6744,10,10,2.0000,74.9366,79.1935,64.6829,61.4690,90.0390,9.2092,,0.2527,100,14
25,Exploit,4380,100,10,1.4900,73.3336,77.4805,65.3562,56.3157,87.5880,10.6459,,0.0870,100,19
26,Exploit,4822,47,10,1.6714,76.6051,80.9553,68.7228,63.7995,89.0484,9.5406,,0.1330,100,18
27,Exploit,4049,63,50,1.7507,72.0525,76.1352,63.2059,54.4668,87.9788,9.7500,,0.2133,100,14
28,Exploit,9942,10,10,0.5000,73.7634,77.9357,62.7281,60.8777,86.5119,10.6084,,0.3338,100,9
