Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
12,OPC PDGFRA PCDH15,100,100,100.0
21,PC P2RY14 GRM8,32,32,100.0
1,Oligo MOG OPALIN,341,339,99.41348973607037
9,Astro AQP4 SLC1A2,115,114,99.1304347826087
8,Oligo MOG OPALIN,139,136,97.84172661870504
0,Oligo MOG OPALIN,360,347,96.38888888888889
11,Micro P2RY12 APBB1IP,101,94,93.06930693069307
15,Astro GFAP AQP1,81,74,91.35802469135803
5,Astro AQP4 SLC1A2,156,136,87.17948717948718
24,Endo CLDN5 SLC7A5,21,17,80.95238095238095
19,PC P2RY14 GRM8,51,41,80.3921568627451
2,Astro AQP4 SLC1A2,202,162,80.1980198019802
20,Oligo MOG OPALIN,33,26,78.78787878787878
3,Endo CLDN5 SLC7A5,192,148,77.08333333333333
22,Micro P2RY12 APBB1IP,30,22,73.33333333333333
7,Endo CLDN5 SLC7A5,142,98,69.01408450704226
13,Endo CLDN5 SLC7A5,95,63,66.3157894736842
6,Oligo MOG GSN,148,89,60.13513513513514
23,Endo CLDN5 SLC7A5,29,15,51.724137931034484
4,Oligo MOG OPALIN,166,81,48.795180722891565
10,L2-3 CUX2 ACVR1C THSD7A,102,32,31.372549019607842
16,Oligo MOG OPALIN,69,21,30.434782608695652
18,InN VIP HS3ST3B1,59,17,28.8135593220339
14,InN SST FREM1,84,23,27.38095238095238
17,InN LAMP5 BMP7,61,11,18.0327868852459
