Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,100,100,100.0
Astro GFAP AQP1,81,74,91.35802469135803
Micro P2RY12 APBB1IP,131,116,88.54961832061069
PC P2RY14 GRM8,83,73,87.95180722891567
Astro AQP4 SLC1A2,473,412,87.10359408033827
Oligo MOG OPALIN,1108,950,85.74007220216606
Endo CLDN5 SLC7A5,479,341,71.18997912317327
Oligo MOG GSN,148,89,60.13513513513514
L2-3 CUX2 ACVR1C THSD7A,102,32,31.372549019607842
InN VIP HS3ST3B1,59,17,28.8135593220339
InN SST FREM1,84,23,27.38095238095238
InN LAMP5 BMP7,61,11,18.0327868852459
