Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Endo CLDN5 SLC7A5,Excitatory neuron,10.0,27.77777777777778,14.705882352941178,7.936507936507936,5,50,18,Neuron,20.0,5.780346820809249,8.968609865470851,4.694835680751173,10,50,173,Pyramidal cells,6.0,8.571428571428571,7.0588235294117645,3.6585365853658534,3,50,35
Astro AQP4 SLC1A2,Astrocyte,26.0,6.220095693779904,10.038610038610038,5.284552845528456,13,50,209,Bergmann glia,8.0,9.75609756097561,8.791208791208794,4.597701149425287,4,50,41,Astrocytes,8.0,6.349206349206349,7.079646017699115,3.669724770642202,4,50,63
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Activated cd8+ t cell,2.0,100.0,3.9215686274509802,2.0,1,50,1,Immune cell,2.0,100.0,3.9215686274509802,2.0,1,50,1
InN SST TRPC7,Purkinje neurons,10.0,8.47457627118644,9.174311926605505,4.807692307692308,5,50,59,Lake et al.science.ex6,6.0,8.823529411764707,7.1428571428571415,3.7037037037037033,3,50,34,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41
InN VIP CLSTN2,Purkinje neurons,8.0,6.779661016949152,7.339449541284404,3.8095238095238098,4,50,59,Retinal ganglion cells,8.0,5.797101449275362,6.722689075630252,3.4782608695652173,4,50,69,Lake et al.science.ex8,6.0,5.084745762711865,5.5045871559633035,2.8301886792452833,3,50,59
Astro GFAP AQP1,Astrocyte,18.0,4.30622009569378,6.94980694980695,3.5999999999999996,9,50,209,Retinal ganglion cells,6.0,4.3478260869565215,5.042016806722689,2.586206896551724,3,50,69,Fibrous astrocyte,2.0,50.0,3.8461538461538463,1.9607843137254901,1,50,2
Astro GFAP FABP7,Astrocyte,18.0,4.30622009569378,6.94980694980695,3.5999999999999996,9,50,209,Purkinje neurons,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59,Lake et al.science.ex5,2.0,11.11111111111111,3.389830508474577,1.7241379310344827,1,50,9
Oligo MOG OPALIN,Oligodendrocyte,16.0,4.371584699453552,6.866952789699571,3.5555555555555554,8,50,183,Oligodendrocytes,8.0,4.545454545454546,5.797101449275362,2.9850746268656714,4,50,88,Lake et al.science.ex8,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
L6 OPRK1 THEMIS RGS6,Excitatory neuron,4.0,11.11111111111111,5.88235294117647,3.0303030303030303,2,50,18,Neuroendocrine cells,4.0,7.4074074074074066,5.194805194805195,2.666666666666667,2,50,27,Neurons,12.0,2.955665024630542,4.743083003952569,2.42914979757085,6,50,203
PC P2RY14 GRM8,Pericyte,4.0,10.526315789473683,5.797101449275362,2.9850746268656714,2,50,19,Lake et al.science.ex6,4.0,5.88235294117647,4.761904761904763,2.4390243902439024,2,50,34,Cancer-associated fibroblast,2.0,33.33333333333333,3.7735849056603774,1.9230769230769231,1,50,3
