Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
10,Astro GFAP AQP1,76,75,98.6842105263158
17,Astro GFAP FABP7,31,30,96.7741935483871
12,OPC PDGFRA PCDH15,56,54,96.42857142857143
3,Oligo MOG OPALIN,335,321,95.82089552238806
7,Oligo MOG OPALIN,142,126,88.73239436619718
13,Endo CLDN5 SLC7A5,39,33,84.61538461538461
9,Micro P2RY12 APBB1IP,82,66,80.48780487804878
6,Astro AQP4 SLC1A2,171,130,76.0233918128655
11,PC P2RY14 GRM8,58,42,72.41379310344827
1,Endo CLDN5 SLC7A5,376,267,71.01063829787235
18,Astro GFAP AQP1,17,10,58.8235294117647
2,Oligo MOG OPALIN,367,215,58.583106267029976
0,Endo CLDN5 SLC7A5,553,323,58.40867992766727
4,Endo CLDN5 SLC7A5,286,167,58.39160839160839
14,Endo CLDN5 SLC7A5,37,20,54.054054054054056
8,Oligo MOG OPALIN,103,48,46.601941747572816
5,L6 OPRK1 THEMIS RGS6,172,39,22.674418604651162
15,InN SST TRPC7,34,6,17.647058823529413
16,InN VIP CLSTN2,32,5,15.625
