Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
Astro GFAP FABP7,31,30,96.7741935483871
OPC PDGFRA PCDH15,56,54,96.42857142857143
Astro GFAP AQP1,93,85,91.39784946236558
Micro P2RY12 APBB1IP,82,66,80.48780487804878
Astro AQP4 SLC1A2,171,130,76.0233918128655
Oligo MOG OPALIN,947,710,74.97360084477296
PC P2RY14 GRM8,58,42,72.41379310344827
Endo CLDN5 SLC7A5,1291,810,62.7420604182804
L6 OPRK1 THEMIS RGS6,172,39,22.674418604651162
InN SST TRPC7,34,6,17.647058823529413
InN VIP CLSTN2,32,5,15.625
