Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
1,OPC PDGFRA PCDH15,112,112,100.0
3,OPC PDGFRA PCDH15,102,102,100.0
7,Oligo MOG OPALIN,63,63,100.0
5,Oligo MOG GSN,70,70,100.0
10,OPC PDGFRA PCDH15,57,57,100.0
20,OPC PDGFRA PCDH15,35,35,100.0
8,Oligo MOG OPALIN,59,59,100.0
0,OPC PDGFRA PCDH15,127,126,99.21259842519684
9,Oligo MOG OPALIN,59,57,96.61016949152543
6,Oligo MOG OPALIN,69,63,91.30434782608695
12,Oligo MOG GSN,50,45,90.0
13,PC P2RY14 GRM8,45,40,88.88888888888889
15,Endo CLDN5 SLC7A5,44,38,86.36363636363636
17,Endo CLDN5 SLC7A5,39,32,82.05128205128206
2,Endo CLDN5 IL1R1,110,84,76.36363636363636
18,Oligo MOG OPALIN,37,27,72.97297297297297
11,Astro AQP4 SLC1A2,52,37,71.15384615384616
14,Astro AQP4 SLC1A2,44,30,68.18181818181819
16,Micro P2RY12 APBB1IP,43,26,60.46511627906977
4,Oligo MOG GSN,73,38,52.054794520547944
22,Oligo MOG OPALIN,31,15,48.38709677419355
19,Endo CLDN5 SLC7A5,36,15,41.666666666666664
21,Astro AQP4 SLC1A2,35,13,37.142857142857146
23,Endo CLDN5 DKK2,20,7,35.0
