Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,433,432,99.7690531177829
Oligo MOG OPALIN,318,284,89.30817610062893
PC P2RY14 GRM8,45,40,88.88888888888889
Oligo MOG GSN,193,153,79.27461139896373
Endo CLDN5 IL1R1,110,84,76.36363636363636
Endo CLDN5 SLC7A5,119,85,71.42857142857143
Astro AQP4 SLC1A2,131,80,61.06870229007634
Micro P2RY12 APBB1IP,43,26,60.46511627906977
Endo CLDN5 DKK2,20,7,35.0
