,AssignedType
Astro AQP4 SLC1A2,Lake et al.science.ex6
Endo CLDN5 DKK2,Endothelial cell
Endo CLDN5 IL1R1,Purkinje neurons
Endo CLDN5 SLC7A5,Neuron
Micro P2RY12 APBB1IP,Microglia
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell
Oligo MOG GSN,Oligodendrocytes
Oligo MOG OPALIN,Mature oligodendrocyte
PC P2RY14 GRM8,Pericyte
