Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
SMC ACTA2 CNN1,22,22,100.0
OPC PDGFRA PCDH15,50,48,96.0
Astro AQP4 SLC1A2,150,136,90.66666666666667
Oligo MOG OPALIN,342,310,90.64327485380117
PC P2RY14 GRM8,44,37,84.0909090909091
Micro P2RY12 APBB1IP,102,82,80.3921568627451
Endo CLDN5 SLC7A5,930,704,75.6989247311828
L2-3 CUX2 ACVR1C THSD7A,46,28,60.869565217391305
Astro GFAP AQP1,44,25,56.81818181818182
L2-3 CUX2 NTNG1 PALMD,72,25,34.72222222222222
InN SST HS3ST5,71,13,18.309859154929576
InN LAMP5 BMP7,44,8,18.181818181818183
L6 FEZF2 SYT6 PTPRT,44,7,15.909090909090908
