,ctpt_consensus_prediction,Cluster_ID,Marker_Match_1,Marker_Match_1_F1 (%),Marker_Match_2,Marker_Match_2_F1 (%),Marker_Match_3,Marker_Match_3_F1 (%)
1110,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
1111,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1112,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1113,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
1114,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1115,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1116,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1117,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1118,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
1119,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
1120,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1121,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1122,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1123,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1124,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1125,L2-3 CUX2 NTNG1 PALMD,L2-3 CUX2 NTNG1 PALMD,Excitatory neuron,5.88235294117647,Cajal-retzius cells,4.687500000000001,Interneurons,4.49438202247191
1126,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1127,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1128,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1129,InN LAMP5 BMP7,InN LAMP5 BMP7,Purkinje neurons,9.174311926605505,Inhibitory neuron,7.142857142857142,Interneuron,7.017543859649124
1130,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1131,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1132,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1133,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1134,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1135,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1136,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1137,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1138,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1139,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1140,PC P2RY14 GRM8,PC P2RY14 GRM8,Pericyte,8.695652173913043,Mural cell,7.017543859649124,Endothelial cell,5.128205128205128
1141,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1142,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1143,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1144,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
1145,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1146,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1147,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1148,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1149,L2-3 CUX2 NTNG1 PALMD,L2-3 CUX2 NTNG1 PALMD,Excitatory neuron,5.88235294117647,Cajal-retzius cells,4.687500000000001,Interneurons,4.49438202247191
1150,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1151,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1152,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1153,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1154,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1155,SMC ACTA2 CNN1,SMC ACTA2 CNN1,Neural stem cell,8.0,Smooth muscle cell,7.547169811320755,Mesenchymal stromal cell,7.017543859649124
1156,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1157,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1158,InN LAMP5 BMP7,InN LAMP5 BMP7,Purkinje neurons,9.174311926605505,Inhibitory neuron,7.142857142857142,Interneuron,7.017543859649124
1159,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
1160,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
1161,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1162,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1163,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1164,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1165,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1166,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
1167,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1168,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1169,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1170,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1171,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1172,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1173,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1174,SMC ACTA2 CNN1,SMC ACTA2 CNN1,Neural stem cell,8.0,Smooth muscle cell,7.547169811320755,Mesenchymal stromal cell,7.017543859649124
1175,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1176,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1177,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1178,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1179,Astro GFAP AQP1,Astro GFAP AQP1,Astrocyte,10.038610038610038,Stem cell,8.21917808219178,Satellite glial cells,8.108108108108109
1180,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1181,Micro P2RY12 APBB1IP,Micro P2RY12 APBB1IP,Microglia,11.570247933884298,Microglial-specific cell,7.6923076923076925,Homeostatic microglial cell,7.142857142857142
1182,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1183,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1184,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1185,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1186,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1187,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1188,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
1189,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1190,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1191,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1192,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1193,OPC PDGFRA PCDH15,OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,22.22222222222222,Oligodendrocyte progenitor cells,15.384615384615383,Oligodendrocyte progenitor cell,13.114754098360654
1194,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1195,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1196,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1197,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1198,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1199,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1200,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1201,Astro AQP4 SLC1A2,Astro AQP4 SLC1A2,Astrocytes,8.849557522123893,Bergmann glia,8.791208791208794,Astrocyte,8.494208494208493
1202,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1203,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1204,InN LAMP5 BMP7,InN LAMP5 BMP7,Purkinje neurons,9.174311926605505,Inhibitory neuron,7.142857142857142,Interneuron,7.017543859649124
1205,InN SST HS3ST5,InN SST HS3ST5,Purkinje neurons,9.174311926605505,Lake et al.science.ex6,7.1428571428571415,Neuron,5.381165919282512
1206,L2-3 CUX2 NTNG1 PALMD,L2-3 CUX2 NTNG1 PALMD,Excitatory neuron,5.88235294117647,Cajal-retzius cells,4.687500000000001,Interneurons,4.49438202247191
1207,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1208,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1209,L6 FEZF2 SYT6 PTPRT,L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron,3.7037037037037033,Somatostatin interneuron,3.6363636363636362,Neuron,3.587443946188341
1210,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
1211,Oligo MOG OPALIN,Oligo MOG OPALIN,Oligodendrocytes,14.492753623188406,Oligodendrocyte,12.01716738197425,Mature oligodendrocyte,7.2727272727272725
1212,Endo CLDN5 SLC7A5,Endo CLDN5 SLC7A5,Neuron,12.556053811659194,Excitatory neuron,11.76470588235294,Neuroendocrine cells,7.792207792207792
