Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
13,Endo CLDN5 SLC7A5,50,50,100.0
26,SMC ACTA2 CNN1,22,22,100.0
1,Oligo MOG OPALIN,132,129,97.72727272727273
6,Endo CLDN5 SLC7A5,88,85,96.5909090909091
14,OPC PDGFRA PCDH15,50,48,96.0
11,Astro AQP4 SLC1A2,62,59,95.16129032258064
3,Endo CLDN5 SLC7A5,131,119,90.83969465648855
21,Endo CLDN5 SLC7A5,35,31,88.57142857142857
12,Oligo MOG OPALIN,61,54,88.52459016393442
7,Astro AQP4 SLC1A2,88,77,87.5
23,Oligo MOG OPALIN,30,26,86.66666666666667
4,Oligo MOG OPALIN,119,101,84.87394957983193
18,PC P2RY14 GRM8,44,37,84.0909090909091
5,Micro P2RY12 APBB1IP,102,82,80.3921568627451
0,Endo CLDN5 SLC7A5,293,218,74.40273037542661
25,Endo CLDN5 SLC7A5,25,18,72.0
2,Endo CLDN5 SLC7A5,131,87,66.41221374045801
22,Endo CLDN5 SLC7A5,34,22,64.70588235294117
8,Endo CLDN5 SLC7A5,74,46,62.16216216216216
15,L2-3 CUX2 ACVR1C THSD7A,46,28,60.869565217391305
16,Astro GFAP AQP1,44,25,56.81818181818182
20,Endo CLDN5 SLC7A5,41,18,43.90243902439025
24,Endo CLDN5 SLC7A5,28,10,35.714285714285715
9,L2-3 CUX2 NTNG1 PALMD,72,25,34.72222222222222
10,InN SST HS3ST5,71,13,18.309859154929576
19,InN LAMP5 BMP7,44,8,18.181818181818183
17,L6 FEZF2 SYT6 PTPRT,44,7,15.909090909090908
