,AssignedType
Astro AQP4 SLC1A2,Astrocytes
Astro GFAP AQP1,Astrocyte
Endo CLDN5 SLC7A5,Neuron
InN LAMP5 BMP7,Purkinje neurons
InN SST HS3ST5,Purkinje neurons
L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells
L2-3 CUX2 NTNG1 PALMD,Excitatory neuron
L6 FEZF2 SYT6 PTPRT,Glutamatergic neuron
Micro P2RY12 APBB1IP,Microglia
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell
Oligo MOG OPALIN,Oligodendrocytes
PC P2RY14 GRM8,Pericyte
SMC ACTA2 CNN1,Neural stem cell
