Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
Micro P2RY12 APBB1IP,8,7,87.5
Oligo MOG OPALIN,28,24,85.71428571428571
Endo CLDN5 SLC7A5,90,62,68.88888888888889
OPC PDGFRA PCDH15,17,11,64.70588235294117
Endo CLDN5 IL1R1,142,91,64.08450704225352
L3-5 RORB PCBP3 ARHGAP15,59,27,45.76271186440678
InN LAMP5 RELN,29,11,37.93103448275862
L3-5 RORB MKX GRIN3A,31,9,29.032258064516128
L2-3 CUX2 ACVR1C THSD7A,20,5,25.0
