Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
9,Endo CLDN5 IL1R1,27,27,100.0
3,Endo CLDN5 SLC7A5,43,40,93.02325581395348
12,Micro P2RY12 APBB1IP,8,7,87.5
8,Oligo MOG OPALIN,28,24,85.71428571428571
5,Endo CLDN5 IL1R1,32,22,68.75
11,OPC PDGFRA PCDH15,17,11,64.70588235294117
2,Endo CLDN5 IL1R1,45,28,62.22222222222222
1,Endo CLDN5 SLC7A5,47,22,46.808510638297875
0,L3-5 RORB PCBP3 ARHGAP15,59,27,45.76271186440678
7,InN LAMP5 RELN,29,11,37.93103448275862
4,Endo CLDN5 IL1R1,38,14,36.8421052631579
6,L3-5 RORB MKX GRIN3A,31,9,29.032258064516128
10,L2-3 CUX2 ACVR1C THSD7A,20,5,25.0
