,AssignedType
Endo CLDN5 IL1R1,Purkinje neurons
Endo CLDN5 SLC7A5,Trigeminal neurons
InN LAMP5 RELN,Excitatory neuron
L2-3 CUX2 ACVR1C THSD7A,Excitatory neuron
L3-5 RORB MKX GRIN3A,Pyramidal cells
L3-5 RORB PCBP3 ARHGAP15,Immature neurons
Micro P2RY12 APBB1IP,Lake et al.science.ex8
OPC PDGFRA PCDH15,Lake et al.science.ex6
Oligo MOG OPALIN,Oligodendrocyte
