Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
NK_prolif,12,8,66.66666666666667
CD8.Naive,161,84,52.17391304347826
gdT,198,91,45.95959595959596
DC3,140,63,45.0
NKT,128,56,43.75
CD8.EM,54,23,42.592592592592595
HSC_CD38pos,24,10,41.666666666666664
CD8.Prolif,252,86,34.12698412698413
CD4.Prolif,30,9,30.0
Treg,122,34,27.868852459016395
Platelets,36,9,25.0
