Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
21,NK_prolif,12,8,66.66666666666667
2,CD8.Naive,87,52,59.770114942528735
7,NKT,59,33,55.932203389830505
16,CD8.Prolif,26,14,53.84615384615385
0,gdT,142,73,51.40845070422535
1,DC3,123,58,47.15447154471545
17,CD8.Naive,25,11,44.0
11,CD8.Naive,49,21,42.857142857142854
9,CD8.EM,54,23,42.592592592592595
18,HSC_CD38pos,24,10,41.666666666666664
3,CD8.Prolif,72,28,38.888888888888886
14,NKT,32,11,34.375
12,NKT,37,12,32.432432432432435
8,gdT,56,18,32.142857142857146
15,CD4.Prolif,30,9,30.0
5,CD8.Prolif,70,21,30.0
19,DC3,17,5,29.41176470588235
6,Treg,68,20,29.41176470588235
4,CD8.Prolif,71,20,28.169014084507044
10,Treg,54,14,25.925925925925927
13,Platelets,36,9,25.0
20,CD8.Prolif,13,3,23.076923076923077
