ctpt_consensus_prediction,WT,Treated
093 RT-ZI Gnb3 Gaba,4.267294980037961,1.4462288741276381
101 ZI Pax6 Gaba,7.454676353164475,28.94980240477592
110 BST-po Iigp1 Glut,0.08508410236272007,0.5129067518708484
145 MH Tac2 Glut,3.4099090254597813,2.7242916001008997
147 AD Serpinb7 Glut,0.9228352640879638,0.36996552593962834
148 AV Col27a1 Glut,2.7488709994109564,2.329101151938115
149 PVT-PT Ntrk1 Glut,1.511879049676026,1.1183048852266038
150 CM-IAD-CL-PCN Sema5b Glut,7.533215524576216,4.902043218700076
151 TH Prkcd Grin2c Glut,26.369526801492242,11.847305137475827
152 RE-Xi Nox4 Glut,3.7175207801557697,4.582527537206761
154 PF Fzd5 Glut,1.6165979448916814,2.5981669889851173
213 SCsg Gabrr2 Gaba,0.17016820472544014,0.008408307407718826
215 SNc-VTA-RAmb Foxa1 Dopa,0.0,0.193391070377533
318 Astro-NT NN,6.3354931605471565,8.895989237366518
323 Ependymal NN,0.032724654754892335,0.05885815185403178
326 OPC NN,2.1794620066758292,2.1945682334146137
327 Oligo NN,28.051574055893706,23.459177667535524
331 Peri NN,0.20943779043131094,0.18498276296981417
333 Endo NN,0.32724654754892335,0.13453291852350122
334 Microglia NN,3.0564827541069444,3.489447574203313
