call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,7457,27,41,1.3953,75.8637,81.3692,70.3927,61.2259,92.0091,10.0715,,0.3065,88,12
2,Exploit,4262,19,28,1.0006,74.6024,80.0214,68.8449,59.0592,91.5418,9.5671,,0.3419,88,12
3,Exploit,1502,69,12,1.5830,75.9966,81.5248,70.2207,61.3650,93.5481,9.2180,,0.1489,88,14
4,Exploit,8750,10,50,1.4262,75.2476,80.7038,67.6125,61.6243,91.8091,10.2983,,0.4006,88,10
5,Exploit,5772,11,11,1.2872,78.0729,83.7500,71.5678,68.0797,92.0185,9.6090,,0.3228,88,12
6,Exploit,3843,14,49,0.8492,75.5680,81.0442,67.9851,63.2711,90.2402,10.5593,,0.4528,88,9
7,Exploit,1025,66,25,1.9748,74.9024,80.3511,70.1347,58.7111,92.3846,9.0799,,0.1353,88,14
8,Exploit,4452,87,37,1.1757,74.9410,80.3653,66.2367,61.1576,92.2427,10.9041,,0.1528,88,10
9,Exploit,321,95,33,1.0781,74.0216,79.3946,66.4374,60.0794,90.1215,9.7493,,0.0998,88,11
10,Exploit,345,31,20,1.5249,75.5839,81.0800,69.1029,61.4728,92.7094,9.3078,,0.1771,88,14
11,Exploit,6019,10,11,1.2421,78.2018,83.8853,70.5933,69.3298,92.0195,9.8252,,0.3312,88,11
12,Exploit,6584,11,11,1.8561,77.3414,82.9707,70.1920,67.2956,91.7602,9.1557,,0.2931,88,12
13,Exploit,6664,79,11,1.1215,73.9492,79.3238,67.9564,57.2344,92.5932,9.2836,,0.1485,88,14
14,Exploit,6030,10,11,1.1667,78.9326,84.6759,71.3098,71.1842,92.5190,9.4644,,0.3387,88,11
15,Exploit,6511,10,10,0.6830,76.9297,82.5175,68.5297,66.3741,92.5063,9.8866,,0.3565,88,10
16,Exploit,1510,10,10,1.2679,77.7769,83.4380,70.1634,69.6308,90.7373,9.2045,,0.3004,88,11
17,Exploit,9310,10,10,1.2847,77.3554,82.9843,69.6761,66.8325,93.0537,9.2527,,0.3096,88,12
18,Exploit,5291,10,14,1.2068,78.2040,83.8822,70.0487,70.2171,91.2196,10.1942,,0.3459,88,10
19,Exploit,200,10,10,2.0000,75.6404,81.1435,67.4692,63.7841,91.9813,9.1200,,0.1663,88,13
20,Exploit,5497,10,10,1.1049,78.8343,84.5632,70.6220,72.0231,91.4078,9.9407,,0.3482,88,10
21,Exploit,6629,10,10,1.1621,77.0332,82.6385,70.3067,65.4077,92.6533,9.2291,,0.3184,88,13
22,Exploit,200,10,10,0.6925,73.4795,78.8041,64.8897,59.4457,89.9391,10.2853,,0.2154,88,10
23,Exploit,4334,10,10,1.3716,77.0453,82.6484,70.0487,66.0923,91.8878,9.4358,,0.3143,88,12
24,Exploit,6007,10,11,1.1568,77.6837,83.3289,69.6761,68.8095,91.4284,9.8045,,0.3511,88,10
25,Exploit,9310,10,24,2.0000,76.2808,81.8231,68.0711,64.7420,92.4108,9.6878,,0.3023,88,11
26,Exploit,5589,10,10,2.0000,78.4679,84.1805,71.4818,69.4652,92.5703,9.2045,,0.2691,88,12
27,Exploit,5686,10,30,1.8190,77.4530,83.0804,69.7334,68.4235,90.7113,9.8490,,0.3532,88,10
28,Exploit,2194,10,10,2.0000,78.2470,83.9376,71.5391,68.4265,92.4576,9.5800,,0.2686,88,12
29,Exploit,1924,10,26,2.0000,77.1050,82.7047,70.1634,65.8044,91.9184,9.9598,,0.2661,88,12
30,Exploit,2359,10,10,0.5000,76.5875,82.1470,69.7048,65.0282,90.9624,10.0742,,0.4543,88,10
1,BO-EI,7457,27,41,1.3953,75.8637,81.3692,70.3927,61.2259,92.0091,10.0715,,0.3065,88,12
2,BO-EI,4262,19,28,1.0006,74.6024,80.0214,68.8449,59.0592,91.5418,9.5671,,0.3419,88,12
3,BO-EI,1502,69,12,1.5830,75.9966,81.5248,70.2207,61.3650,93.5481,9.2180,,0.1489,88,14
4,BO-EI,8750,10,50,1.4262,75.2476,80.7038,67.6125,61.6243,91.8091,10.2983,,0.4006,88,10
5,BO-EI,5772,11,11,1.2872,78.0729,83.7500,71.5678,68.0797,92.0185,9.6090,,0.3228,88,12
6,BO-EI,3843,14,49,0.8492,75.5680,81.0442,67.9851,63.2711,90.2402,10.5593,,0.4528,88,9
7,BO-EI,1025,66,25,1.9748,74.9024,80.3511,70.1347,58.7111,92.3846,9.0799,,0.1353,88,14
8,BO-EI,4452,87,37,1.1757,74.9410,80.3653,66.2367,61.1576,92.2427,10.9041,,0.1528,88,10
9,BO-EI,321,95,33,1.0781,74.0216,79.3946,66.4374,60.0794,90.1215,9.7493,,0.0998,88,11
10,BO-EI,345,31,20,1.5249,75.5839,81.0800,69.1029,61.4728,92.7094,9.3078,,0.1771,88,14
11,BO-EI,9310,10,10,2.0000,77.1375,82.7468,69.0169,66.5379,93.0442,9.4849,,0.2889,88,12
12,BO-EI,7164,10,10,0.8444,77.4946,83.1267,68.9882,67.9981,92.5735,9.7417,,0.3400,88,10
13,BO-EI,3142,10,12,1.2564,78.1822,83.8589,70.6506,69.4443,91.3504,10.1881,,0.3337,88,11
14,BO-EI,5778,10,13,0.5000,77.8165,83.4637,68.6156,70.2065,91.1222,10.3353,,0.3946,88,9
15,BO-EI,1757,10,11,1.7478,78.4076,84.1083,71.2238,69.1769,92.5202,9.6984,,0.2746,88,12
16,BO-EI,200,10,10,0.7361,74.0526,79.4188,65.3769,60.9226,89.8573,10.3625,,0.2061,88,10
17,BO-EI,3302,10,10,1.8574,77.7464,83.4057,70.2494,68.4028,92.1387,9.1698,,0.2417,88,12
18,BO-EI,2384,10,12,1.0994,78.0599,83.7360,71.5105,67.9875,92.1555,9.6076,,0.3318,88,12
19,BO-EI,6252,27,10,1.4781,77.8643,83.5446,72.6283,66.1511,93.5235,8.3573,,0.2478,88,16
20,BO-EI,2137,10,13,1.9003,77.5971,83.2482,71.4818,66.2109,93.0077,8.9721,,0.2698,88,13
21,BO-EI,5103,77,10,0.6378,76.0185,81.5493,71.0232,61.2531,92.8308,9.1570,,0.1709,88,14
22,BO-EI,8054,83,10,1.7991,74.5440,79.9701,69.3895,58.0642,92.8659,8.7981,,0.1405,88,15
23,BO-EI,2795,23,34,1.1852,75.2752,80.7366,68.0997,61.3727,91.8723,10.0903,,0.3166,88,12
24,BO-EI,2500,26,10,0.5298,75.2675,80.7491,68.5297,61.0091,93.2042,8.6993,,0.3018,88,14
25,BO-EI,2841,13,11,1.9095,77.7888,83.4549,71.9690,66.4377,93.0410,8.9277,,0.2740,88,14
