call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,6099,27,41,1.3953,49.8733,62.8661,40.5601,43.2000,78.3431,9.9854,,0.0520,89,7
2,Exploit,3502,19,28,1.0006,49.5127,62.3821,40.6084,41.9382,77.5870,10.4544,,0.0751,89,7
3,Exploit,1258,69,12,1.5830,51.5302,64.9966,41.8638,46.5395,81.3063,9.5430,,0.0230,89,10
4,Exploit,7151,10,50,1.4262,51.5684,64.9597,40.4635,44.8224,85.4078,11.1198,,0.0950,89,6
5,Exploit,4730,11,11,1.2872,51.9146,65.4703,41.8155,48.2400,80.6345,9.8198,,0.1649,89,9
6,Exploit,3161,14,49,0.8492,50.5019,63.5642,39.1357,44.0166,81.4073,11.8473,,0.1395,89,6
7,Exploit,871,66,25,1.9748,48.1282,60.6623,40.3187,37.2467,79.1701,9.7093,,0.0266,89,9
8,Exploit,3657,87,37,1.1757,52.1209,65.7023,40.5118,49.1981,82.2287,10.3784,,0.0572,89,9
9,Exploit,298,95,33,1.0781,49.2417,62.0260,37.8561,41.8936,81.1345,10.6673,,0.0114,89,6
10,Exploit,318,31,20,1.5249,49.3288,62.1103,40.5360,40.5236,78.2617,11.1561,,0.0345,89,7
11,Exploit,2053,69,37,1.1660,50.0445,63.0892,41.0188,44.7546,75.9787,9.8842,,0.0343,89,9
12,Exploit,6239,85,10,0.5723,54.4122,68.6572,40.8740,56.1657,86.4000,9.6074,,0.1129,89,9
13,Exploit,6307,88,10,0.5608,54.5315,68.8131,40.4877,56.6844,87.3162,9.5310,,0.1113,89,9
14,Exploit,6362,90,10,0.5693,54.4537,68.7022,40.2221,56.6434,87.1433,9.7523,,0.0795,89,9
15,Exploit,6129,98,10,0.5000,54.4976,68.7597,40.6084,56.4052,87.0128,9.7190,,0.1030,89,9
16,Exploit,6673,97,10,0.5000,54.5200,68.7876,40.3187,56.3400,87.8739,9.7304,,0.1001,89,9
17,Exploit,6638,97,10,1.5586,52.5189,66.2845,41.9604,49.8450,82.6957,8.9766,,0.0395,89,11
18,Exploit,6486,91,10,0.5000,54.7042,69.0187,41.0188,56.7587,86.8683,9.7886,,0.1075,89,9
19,Exploit,7448,83,10,0.5000,54.9458,69.3256,40.8981,57.7092,87.2648,9.7930,,0.0889,89,9
20,Exploit,7606,78,10,0.5000,54.4332,68.6223,41.1395,55.2451,85.9088,10.7441,,0.1152,89,9
21,Exploit,7606,97,15,0.5000,55.1696,69.5425,40.6567,57.3918,88.0977,11.0402,,0.0997,89,8
