Cell_Type,MCS
Oligo MOG OPALIN,0.7459940652818992
Endo CLDN5 SLC7A5,0.6548504079782411
Astro AQP4 SLC1A2,0.989423076923077
Micro P2RY12 APBB1IP,0.8028571428571428
OPC PDGFRA PCDH15,0.8117142857142856
L2-3 CUX2 NTNG1 PALMD,0.9227692307692308
InN SST ADAMTSL1,0.935
Astro GFAP FABP7,0.9856
Astro GFAP AQP1,0.7408333333333332
PC P2RY14 GRM8,0.9670833333333334
L6 FEZF2 SYT6 PTPRT,0.9879069767441859
L6 OPRK1 THEMIS RGS6,0.9627906976744185
L3-5 RORB MKX DCC,0.9805263157894737
T SKAP1 CD247,0.9079999999999998
