Cluster_ID,Assigned_Cell_Type,Precision (%),Recall (%),F1_Score (%),Jaccard (%),True_Positive_Count,Predicted_Marker_Count,Reference_Marker_Count,Assigned_Cell_Type_2,Precision_2 (%),Recall_2 (%),F1_Score_2 (%),Jaccard_2 (%),True_Positive_Count_2,Predicted_Marker_Count_2,Reference_Marker_Count_2,Assigned_Cell_Type_3,Precision_3 (%),Recall_3 (%),F1_Score_3 (%),Jaccard_3 (%),True_Positive_Count_3,Predicted_Marker_Count_3,Reference_Marker_Count_3
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell,14.000000000000002,53.84615384615385,22.22222222222222,12.5,7,50,13,Oligodendrocyte progenitor cells,12.0,21.428571428571427,15.384615384615383,8.333333333333332,6,50,28,Oligodendrocyte progenitor cell,8.0,36.36363636363637,13.114754098360654,7.017543859649122,4,50,11
Oligo MOG OPALIN,Oligodendrocyte,32.0,8.743169398907105,13.733905579399142,7.373271889400922,16,50,183,Oligodendrocytes,18.0,10.227272727272728,13.043478260869565,6.976744186046512,9,50,88,Mature oligodendrocyte,6.0,60.0,10.90909090909091,5.769230769230769,3,50,5
L6 FEZF2 SYT6 PTPRT,Lake et al.science.ex6,10.0,14.705882352941178,11.904761904761905,6.329113924050633,5,50,34,Pan-neuronal cell,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
Endo CLDN5 SLC7A5,Excitatory neuron,8.0,22.22222222222222,11.76470588235294,6.25,4,50,18,Neuron,22.0,6.358381502890173,9.865470852017937,5.188679245283019,11,50,173,Pyramidal cells,8.0,11.428571428571429,9.411764705882355,4.938271604938271,4,50,35
InN SST ADAMTSL1,Purkinje neurons,12.0,10.16949152542373,11.009174311926607,5.825242718446602,6,50,59,Inhibitory neuron,4.0,33.33333333333333,7.142857142857142,3.7037037037037033,2,50,6,Interneuron,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7
Astro GFAP AQP1,Astrocyte,26.0,6.220095693779904,10.038610038610038,5.284552845528456,13,50,209,Mature astrocyte,4.0,50.0,7.4074074074074066,3.8461538461538463,2,50,4,Astrocytes,8.0,6.349206349206349,7.079646017699115,3.669724770642202,4,50,63
Micro P2RY12 APBB1IP,Microglia,12.0,8.450704225352112,9.917355371900827,5.217391304347826,6,50,71,Activated cd8+ t cell,2.0,100.0,3.9215686274509802,2.0,1,50,1,Immune cell,2.0,100.0,3.9215686274509802,2.0,1,50,1
PC P2RY14 GRM8,Pericyte,6.0,15.789473684210526,8.695652173913043,4.545454545454546,3,50,19,Mural cell,4.0,28.57142857142857,7.017543859649124,3.6363636363636362,2,50,7,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28
Astro AQP4 SLC1A2,Astrocyte,20.0,4.784688995215311,7.7220077220077235,4.016064257028113,10,50,209,Bergmann glia,6.0,7.317073170731707,6.593406593406592,3.4090909090909087,3,50,41,Radial glia cells,4.0,14.285714285714285,6.25,3.225806451612903,2,50,14
Astro GFAP FABP7,Astrocyte,14.000000000000002,3.349282296650718,5.405405405405405,2.7777777777777777,7,50,209,Lake et al.science.in2,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Purkinje neurons,4.0,3.389830508474576,3.669724770642202,1.8691588785046727,2,50,59
L6 OPRK1 THEMIS RGS6,Neuron,12.0,3.4682080924855487,5.381165919282512,2.7649769585253456,6,50,173,Cajal-retzius cells,6.0,3.8461538461538463,4.687500000000001,2.4,3,50,78,Interneurons,10.0,2.3041474654377883,3.7453183520599254,1.9083969465648856,5,50,217
L3-5 RORB MKX DCC,Neuroendocrine cells,4.0,7.4074074074074066,5.194805194805195,2.666666666666667,2,50,27,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5,Lake et al.science.in5,2.0,14.285714285714285,3.508771929824562,1.7857142857142856,1,50,7
T SKAP1 CD247,Endothelial cell,4.0,7.142857142857142,5.128205128205128,2.631578947368421,2,50,28,T cell,4.0,4.545454545454546,4.25531914893617,2.1739130434782608,2,50,44,Macrophage,6.0,3.1578947368421053,4.137931034482759,2.112676056338028,3,50,95
L2-3 CUX2 NTNG1 PALMD,Neurons,10.0,2.4630541871921183,3.952569169960475,2.0161290322580645,5,50,203,Parvalbumin interneuron,2.0,25.0,3.7037037037037033,1.8867924528301887,1,50,4,Somatostatin interneuron,2.0,20.0,3.6363636363636362,1.8518518518518516,1,50,5
