,AssignedType
Astro AQP4 SLC1A2,Astrocyte
Astro GFAP AQP1,Astrocyte
Astro GFAP FABP7,Astrocyte
Endo CLDN5 SLC7A5,Excitatory neuron
InN SST ADAMTSL1,Purkinje neurons
L2-3 CUX2 NTNG1 PALMD,Neurons
L3-5 RORB MKX DCC,Neuroendocrine cells
L6 FEZF2 SYT6 PTPRT,Lake et al.science.ex6
L6 OPRK1 THEMIS RGS6,Neuron
Micro P2RY12 APBB1IP,Microglia
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell
Oligo MOG OPALIN,Oligodendrocyte
PC P2RY14 GRM8,Pericyte
T SKAP1 CD247,Endothelial cell
