Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
PC P2RY14 GRM8,48,46,95.83333333333333
Astro AQP4 SLC1A2,104,97,93.26923076923077
L6 OPRK1 THEMIS RGS6,43,39,90.69767441860465
OPC PDGFRA PCDH15,70,63,90.0
T SKAP1 CD247,10,9,90.0
Oligo MOG OPALIN,1348,1087,80.6379821958457
Astro GFAP FABP7,50,36,72.0
Endo CLDN5 SLC7A5,1103,725,65.7298277425204
Micro P2RY12 APBB1IP,84,53,63.095238095238095
Astro GFAP AQP1,48,20,41.666666666666664
L2-3 CUX2 NTNG1 PALMD,65,21,32.30769230769231
L6 FEZF2 SYT6 PTPRT,43,13,30.232558139534884
L3-5 RORB MKX DCC,38,9,23.68421052631579
InN SST ADAMTSL1,64,7,10.9375
