Cell_Type,MCS
Oligo MOG OPALIN,0.8140425531914892
L2-3 CUX2 ACVR1C THSD7A,0.9592156862745099
OPC PDGFRA PCDH15,0.9542483660130721
Endo CLDN5 SLC7A5,0.8046601941747572
InN VIP HS3ST3B1,0.954375
L3-5 RORB GABRG1 PTPRO,0.9628260869565217
InN LAMP5 BMP7,0.9686956521739131
InN PVALB HPSE,0.9684444444444444
Micro P2RY12 APBB1IP,0.7764285714285714
InN SST HS3ST5,0.9679518072289157
InN SST FREM1,0.9524390243902441
Astro GFAP AQP1,0.6583561643835616
L6 FEZF2 SYT6 PTPRT,0.9698461538461538
InN VIP CLSTN2,0.9607843137254902
L3-5 RORB PCBP3 IL1RAPL2,0.9745
InN ADARB2 FAM19A1,0.9622222222222221
L3-5 RORB MKX SCN5A,0.9828571428571428
InN PVALB PDE3A,0.9876923076923078
L5-6 FEZF2 NXPH2 GRIK1,0.9816666666666669
InN LAMP5 RELN,0.9947826086956522
L6 OPRK1 SMYD1 KCND2,0.9866666666666666
