Cluster_ID (Leiden),Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
4,OPC PDGFRA PCDH15,153,152,99.34640522875817
3,Oligo MOG OPALIN,176,174,98.86363636363636
1,L2-3 CUX2 ACVR1C THSD7A,273,268,98.16849816849818
2,Oligo MOG OPALIN,245,233,95.10204081632654
0,Oligo MOG OPALIN,331,311,93.95770392749245
23,InN LAMP5 RELN,23,21,91.30434782608695
20,InN PVALB PDE3A,26,19,73.07692307692308
7,InN LAMP5 BMP7,92,57,61.95652173913044
10,Micro P2RY12 APBB1IP,84,49,58.333333333333336
19,L3-5 RORB MKX SCN5A,28,16,57.142857142857146
18,InN ADARB2 FAM19A1,36,19,52.77777777777778
9,L2-3 CUX2 ACVR1C THSD7A,84,43,51.19047619047619
16,InN VIP CLSTN2,51,24,47.05882352941177
15,L6 FEZF2 SYT6 PTPRT,65,29,44.61538461538461
6,L3-5 RORB GABRG1 PTPRO,92,37,40.21739130434783
24,L6 OPRK1 SMYD1 KCND2,18,7,38.888888888888886
22,L5-6 FEZF2 NXPH2 GRIK1,24,9,37.5
21,Endo CLDN5 SLC7A5,24,9,37.5
17,L3-5 RORB PCBP3 IL1RAPL2,40,14,35.0
12,InN SST FREM1,82,27,32.926829268292686
11,InN SST HS3ST5,83,27,32.53012048192771
13,Endo CLDN5 SLC7A5,79,24,30.379746835443036
8,InN PVALB HPSE,90,26,28.88888888888889
5,InN VIP HS3ST3B1,96,26,27.083333333333332
14,Astro GFAP AQP1,73,18,24.65753424657534
