Consensus_Cell_Type,Total_Cells_in_Group,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
OPC PDGFRA PCDH15,153,152,99.34640522875817
Oligo MOG OPALIN,752,718,95.47872340425532
InN LAMP5 RELN,23,21,91.30434782608695
L2-3 CUX2 ACVR1C THSD7A,357,311,87.11484593837535
InN PVALB PDE3A,26,19,73.07692307692308
InN LAMP5 BMP7,92,57,61.95652173913044
Micro P2RY12 APBB1IP,84,49,58.333333333333336
L3-5 RORB MKX SCN5A,28,16,57.142857142857146
InN ADARB2 FAM19A1,36,19,52.77777777777778
InN VIP CLSTN2,51,24,47.05882352941177
L6 FEZF2 SYT6 PTPRT,65,29,44.61538461538461
L3-5 RORB GABRG1 PTPRO,92,37,40.21739130434783
L6 OPRK1 SMYD1 KCND2,18,7,38.888888888888886
L5-6 FEZF2 NXPH2 GRIK1,24,9,37.5
L3-5 RORB PCBP3 IL1RAPL2,40,14,35.0
InN SST FREM1,82,27,32.926829268292686
InN SST HS3ST5,83,27,32.53012048192771
Endo CLDN5 SLC7A5,103,33,32.03883495145631
InN PVALB HPSE,90,26,28.88888888888889
InN VIP HS3ST3B1,96,26,27.083333333333332
Astro GFAP AQP1,73,18,24.65753424657534
