,AssignedType
Astro AQP4 SLC1A2,Astrocyte
Astro GFAP AQP1,Astrocyte
Endo CLDN5 SLC7A5,Neuron
InN LAMP5 BMP7,Neuroblasts
InN SST FREM1,Lake et al.science.ex6
L2-3 CUX2 ACVR1C THSD7A,Pyramidal cells
L3-5 RORB MKX DCC,Somatostatin interneuron
L6 OPRK1 THEMIS RGS6,Excitatory neuron
Micro P2RY12 APBB1IP,Microglia
OPC PDGFRA PCDH15,Oligodendrocyte precursor cell
Oligo MOG OPALIN,Oligodendrocytes
PC P2RY14 GRM8,Mural cell
VLMC COL1A2 VLMCA8,Fibrous astrocyte
