Cell_Type,MCS,Top_50_Markers
Oligo MOG OPALIN,0.7302564102564102,"IL1RAPL1, PTPRD, SLC24A2, ST18, FRMD5, TTLL7, RNF220, ANK3, SLC44A1, MBP, NKAIN2, CTNNA3, NRXN3, MARCHF1, PEX5L, MOBP, PCDH9, PLP1, EDIL3, DLG2, MAP7, SPOCK1, TRIM2, PALM2AKAP2, SHTN1, ZNF536, DPYD, PLCL1, SH3GL3, PDE4B, PIP4K2A, PDE1C, SEPTIN7, FRMD4B, PRUNE2, PDE1A, ELMO1, ENPP2, PTPRK, SPOCK3, C10orf90, PLEKHH1, TMEFF2, TMEM144, KCNH8, DOCK5, AK5, ENSG00000286749, TF, NLGN1"
Endo CLDN5 SLC7A5,0.7423715415019763,"CALM1, NRGN, TUBA1B, MAP1B, FTH1, IDS, CALM3, CLU, CST3, CALM2, VAMP2, SPARCL1, OLFM1, SNAP25, NDUFA4, PEBP1, MAP1A, CHN1, NORAD, PCSK1N, RPL41, SELENOW, HSP90AB1, MT3, CAMK2N1, CKB, GAPDH, TMSB10, ARPP19, YWHAG, NEFL, ATP6V0C, CCK, ENC1, GNAS, STMN1, THY1, CAMK2A, VSNL1, FTL, UCHL1, ACTB, PPIA, KIF5A, STMN2, EEF1A1, TMSB4X, BEX1, HSP90AA1, COX4I1"
Astro AQP4 SLC1A2,0.7948780487804877,"GPC5, SLC1A2, GPM6A, LSAMP, ADGRV1, PITPNC1, RORA, NRXN1, CTNNA2, NPAS3, OBI1-AS1, ENSG00000271860, NTM, SLC1A3, DTNA, NRG3, SOX5, TNIK, ENSG00000286757, PARD3, NKAIN3, HPSE2, ABLIM1, CTNND2, CACNB2, SLC4A4, AHCYL2, RYR3, GABRB1, MIR99AHG, LINC00299, MACF1, ZNRF3, MSI2, BMPR1B, NEBL, LINC03051, CADM1, SFXN5, ATP13A4, NHSL1, RGS20, LRP1B, ENSG00000287862, CARMIL1, AMZ2, ACOT11, CABLES1, ENSG00000274441, FMN2"
Micro P2RY12 APBB1IP,0.838102189781022,"SFMBT2, DOCK8, APBB1IP, LRMDA, ST6GAL1, PLXDC2, ITPR2, TBXAS1, SRGAP2, INPP5D, FRMD4A, FOXN3, AOAH, MEF2A, ATP8B4, ARHGAP15, ARHGAP24, DLEU1, CHST11, SLC9A9, CSF1R, DISC1, SLCO2B1, MAML3, DOCK4, PALD1, LDLRAD4, SYNDIG1, ANKRD44, FYB1, ADAM28, DOCK2, ELMO1, SRGAP2B, SORL1, RUNX1, CYFIP1, FOXP2, ABR, ZNF710, TBC1D22A, MAML2, RYR1, RNASET2, HS3ST4, USP53, PTPRC, CPED1, MEF2C, ZFHX3"
Astro GFAP AQP1,0.9763106796116506,"DPP10, ARHGEF4, ADGRV1, MALAT1, AMZ2, DCLK2, GLIS3, ENSG00000287704, WDR49, RFX4, SORBS1, MIR99AHG, DTNA, PITPNC1, MSI2, ENTREP1, PARD3B, PRKG1, GRAMD2B, ADGRA3, ENSG00000284977, ENSG00000286757, NPAS3, ENSG00000286776, PRKCA, DPP10-AS3, NEBL, ABLIM1, SLC16A9, PARD3, CTNND2, RIPK2-DT, FMN2, NRG3, ADCY2, ENSG00000250602, LRIG1, OBI1-AS1, LINC00472, NHSL1, CDH20, BMPR1B, CTNNA2, ZNRF3, ACOT11, ANKFN1, STON2, ID4, ENSG00000257545, TNIK"
InN SST FREM1,0.9659999999999997,"DLGAP1, KIAA1217, NXPH1, GRIP1, XKR4, RBFOX1, KIF26B, TENM1, GRIK1, NRXN3, CNTNAP2, TIAM1, KAZN, GRIK2, BACH1, CADPS, PTPRN2, SOX6, DAB1, TENM3, RASGRF2, SNHG14, ADCY8, CACNA1A, GRIA1, ZNF385D, RBMS3, SETBP1, CRACD, FGF14, KCNC2, CDH9, DLGAP1-AS5, MYT1L, MTUS2, SLC44A5, SRRM3, GRIK3, TENM2, CNTNAP5, MARCHF4, TMEM178B, ROBO2, UBASH3B, CACNA1D, AUTS2, ENSG00000231606, SLC24A3, ATP8A2, SCN1A-AS1"
OPC PDGFRA PCDH15,0.9704225352112676,"TNR, PCDH15, LRRC4C, PTPRZ1, LHFPL3, VCAN, DSCAM, LUZP2, KCNMB2, XYLT1, MEGF11, DPP6, KCNMB2-AS1, ENSG00000278254, EPN2, MMP16, OPCML, SMOC1, NXPH1, SEZ6L, NLGN1, ENSG00000234173, KCND2, PDGFRA, DISC1, CHST11, PDZD2, GRID2, SLC35F1, CA10, ADARB2, SOX6, BRINP3, OPHN1, AGAP1, MDGA2, KIF26B, MYT1, ZFPM2, LINC01322, NOVA1, LRRTM4, COL11A1, CSMD1, PLEKHH2, LINC00511, DGKG, SEMA5A, TMEM132C, ADGRL3"
L6 OPRK1 THEMIS RGS6,0.8866666666666667,"KCNIP4, LRP1B, RALYL, KCNQ5, OPCML, ATRNL1, RBFOX1, RYR2, STXBP5L, PDE4D, DCC, TALAM1, MEG3, SYN3, CTNNA2, DPP10, KAZN, PDZRN4, CSMD1, CHRM3, ERC2, MCTP1, NELL1, ZNF804B, CDH12, ENSG00000285582, ROBO2, TMEM132D, SLC35F3, SORCS1, NAV3, ENSG00000239498, PTPRD, LSAMP, ANKS1B, DLGAP1, KCNMA1, LRFN5, CNTN4, FGF14, CACNA2D3, CLSTN2, SYT1, CNTNAP2, DMD, CADPS, TENM2, TENM4, FRMD4A, DGKI"
InN LAMP5 BMP7,0.9498305084745763,"ADARB2, DLX6-AS1, LINC00200, FGF14, KAZN, GRIP1, DAB1, PDE10A, ERBB4, GRIK2, MTUS2, RGS12, C8orf34, CRACD, TRMT9B, GABRG3, ECE2, CCSER1, NYAP2, ADARB2-AS1, ENSG00000231606, KAZN-AS1, SLC24A3, ROBO2, SGCZ, SNHG14, UBASH3B, CNTNAP2, CACNA1D, ZNF385D, ANKRD30BL, CLVS1, NHS, ZNF804A, ANKRD55, CACNA1B, LINGO2, GABRG3-AS1, GALNT17, PKP2, TTC39C, CSMD3, CSMD1, PLCB1, PWRN1, CNTN4, RGS7, RIMBP2, MYT1L, KCNIP1"
L2-3 CUX2 ACVR1C THSD7A,0.9811538461538463,"LRRTM4, KCNIP4, HS6ST3, CSMD1, CBLN2, LINC01378, ENSG00000250243, ENSG00000229618, ASIC2, CUX2, LRRTM4-AS1, LINC01250, R3HDM1, KCNQ5, CDH18, ENSG00000250092, PHACTR1, NDST3, LDB2, DGKB, MLIP, GRIA4, LINC00507, GRM1, ENSG00000248343, DIRC3-AS1, KALRN, EPIC1, DLGAP2, TAFA1, CNTNAP5, PVT1, ENSG00000254092, RALYL, GOLGA8A, EML6, CDH12, STXBP5L, ATRNL1, GALNTL6, ENSG00000285582, KCND2, PDZD2, ENSG00000250137, CDH9, MEG3, SYN3, FAM153CP, ENSG00000258162, ENSG00000255028"
L3-5 RORB MKX DCC,0.9654166666666666,"CCSER1, OPCML, ENSG00000257191, ENSG00000257458, TSHZ2, ANKS1B, KHDRBS2, TAFA2, PHACTR1, STXBP5L, MDGA2, NKAIN2, RALYL, CHSY3, RYR2, KALRN, ARPP21, LINC02217, LDB2, RBFOX1, FRMPD4, TRMT9B, CASC15, AGBL4, ENSG00000291133, CACNA1C, DLGAP2, PDE10A, KCNB2, CACNA1A, CELF2, LRFN5, CPNE4, RIMS2, CNTNAP2, GALNT17, THRB, FGF12, ZNF385B, GABRG3-AS1, ENSG00000257894, HECW1, ERC2, GABRG3, NELL2, ENSG00000253553, KHDRBS3, FOXP2, ENSG00000289130, RXFP1"
PC P2RY14 GRM8,0.9353488372093023,"SLC38A11, EBF1, DLC1, ATP1A2, LAMA2, EPS8, ITIH5, ENSG00000243620, RGS5, PDGFRB, ENSG00000275443, COBLL1, PTEN, IGFBP7, NR2F2-AS1, SLC19A1, ENSG00000236283, UTRN, PLCB4, SLC20A2, CALD1, ARHGAP29, ARHGAP10, LHFPL6, COLEC12, HTR1F, SLC6A1, RBMS3, SLC30A10, SYNE2, CARMN, ADAMTS9-AS2, SNRK, PTPRG, MALAT1, PDE7B, MYO1B, SLC6A12, TRPC3, CASC15, GRM8, BLTP1, PDE8B, SLC6A1-AS1, ENSG00000286251, CYTH3, SNTB1, SLC6A13, ENSG00000287134, FRMD3"
