call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,8410,27,41,1.3953,65.6573,72.8991,53.2603,52.5151,90.8520,9.4972,,0.2969,103,18
2,Exploit,4795,19,28,1.0006,64.1857,71.2739,51.0310,50.9367,89.7300,8.8965,,0.3086,103,16
3,Exploit,1673,69,12,1.5830,69.1959,76.8298,57.8116,59.4596,91.2840,9.9279,,0.1462,103,22
4,Exploit,9874,10,50,1.4262,62.9048,69.8295,45.9595,51.8956,89.0747,9.6900,,0.3709,103,12
5,Exploit,6504,11,11,1.2872,64.9546,72.1024,50.2322,53.7097,89.3896,10.1222,,0.2405,103,17
6,Exploit,4321,14,49,0.8492,61.5728,68.3384,44.5477,50.6194,85.8480,10.0354,,0.3400,103,11
7,Exploit,1134,66,25,1.9748,68.3219,75.8524,57.6630,56.6631,90.9354,10.1116,,0.1596,103,21
8,Exploit,5011,87,37,1.1757,63.4861,70.4623,49.3777,49.1313,90.2069,10.3298,,0.1499,103,15
9,Exploit,337,95,33,1.0781,61.6416,68.3996,46.7397,46.9593,87.8076,10.7103,,0.1045,103,14
10,Exploit,365,31,20,1.5249,67.1203,74.5099,55.1923,55.1969,90.4354,10.3035,,0.2208,103,20
11,Exploit,1498,68,10,1.5684,69.1553,76.7945,57.6816,59.8944,91.0788,9.4904,,0.1507,103,23
12,Exploit,1956,70,11,1.5539,68.4226,75.9759,57.5887,58.5589,89.1797,9.6085,,0.1624,103,22
13,Exploit,2407,62,10,1.5743,68.6687,76.2473,58.4432,57.1774,91.2090,9.7273,,0.1627,103,23
14,Exploit,200,65,10,1.1272,63.8381,70.8623,49.2476,50.8481,89.8186,9.9795,,0.1111,103,18
15,Exploit,862,69,12,1.7109,69.5286,77.2079,60.1152,58.4203,91.4945,9.5905,,0.1310,103,24
16,Exploit,200,74,10,1.7559,67.4558,74.9017,56.0282,56.1326,90.3043,9.5001,,0.1071,103,23
17,Exploit,1096,67,13,1.6822,68.6499,76.2187,57.9231,57.3775,91.2366,10.0619,,0.1486,103,22
18,Exploit,10507,54,10,1.7172,68.7477,76.3335,58.4618,56.9805,91.8480,9.8007,,0.1852,103,23
19,Exploit,1107,64,50,1.7119,66.6195,73.9652,55.2480,53.9663,90.2280,9.7323,,0.1460,103,17
20,Exploit,200,41,10,2.0000,67.8599,75.3487,56.2326,57.0291,90.6152,9.6372,,0.1323,103,23
21,Exploit,10507,100,10,2.0000,69.5827,77.2628,59.2792,59.1297,91.7077,9.8278,,0.1378,103,25
22,Exploit,10507,100,10,1.7941,68.3342,75.8663,57.4958,56.5330,91.4906,10.0998,,0.1440,103,23
23,Exploit,4668,35,45,0.9939,64.8701,72.0053,51.7927,51.4704,89.8371,10.2498,,0.2377,103,15
24,Exploit,8635,75,19,0.7822,64.2083,71.2521,50.0093,50.0186,90.9259,10.9674,,0.1847,103,16
25,Exploit,9345,95,44,1.5673,64.9792,72.1267,52.1085,51.0147,90.7102,10.2563,,0.1404,103,16
26,Exploit,3694,32,19,1.7861,69.0769,76.7105,57.9788,59.5010,90.9452,9.3438,,0.2416,103,20
27,Exploit,10507,10,10,2.0000,64.8438,71.9997,51.4026,52.2146,90.2691,9.2067,,0.2329,103,20
28,Exploit,4545,58,10,1.7844,68.3372,75.8818,59.0563,56.2716,90.0813,9.5656,,0.1676,103,24
29,Exploit,4093,36,27,0.8843,65.9588,73.2241,51.5883,55.3519,90.1575,9.9634,,0.2378,103,14
30,Exploit,1710,19,41,1.8525,66.3226,73.6375,52.2943,56.4334,89.6418,9.5997,,0.2710,103,16
1,BO-EI,8410,27,41,1.3953,65.6573,72.8991,53.2603,52.5151,90.8520,9.4972,,0.2969,103,18
2,BO-EI,4795,19,28,1.0006,64.1857,71.2739,51.0310,50.9367,89.7300,8.8965,,0.3086,103,16
3,BO-EI,1673,69,12,1.5830,69.1959,76.8298,57.8116,59.4596,91.2840,9.9279,,0.1462,103,22
4,BO-EI,9874,10,50,1.4262,62.9048,69.8295,45.9595,51.8956,89.0747,9.6900,,0.3709,103,12
5,BO-EI,6504,11,11,1.2872,64.9546,72.1024,50.2322,53.7097,89.3896,10.1222,,0.2405,103,17
6,BO-EI,4321,14,49,0.8492,61.5728,68.3384,44.5477,50.6194,85.8480,10.0354,,0.3400,103,11
7,BO-EI,1134,66,25,1.9748,68.3219,75.8524,57.6630,56.6631,90.9354,10.1116,,0.1596,103,21
8,BO-EI,5011,87,37,1.1757,63.4861,70.4623,49.3777,49.1313,90.2069,10.3298,,0.1499,103,15
9,BO-EI,337,95,33,1.0781,61.6416,68.3996,46.7397,46.9593,87.8076,10.7103,,0.1045,103,14
10,BO-EI,365,31,20,1.5249,67.1203,74.5099,55.1923,55.1969,90.4354,10.3035,,0.2208,103,20
11,BO-EI,10507,58,10,1.2227,68.1720,75.6940,56.9014,56.7638,91.5763,9.7347,,0.1923,103,21
12,BO-EI,10507,71,10,2.0000,69.8320,77.5462,59.7065,59.5081,92.0903,9.5730,,0.1572,103,24
13,BO-EI,10507,65,10,2.0000,69.3682,77.0286,59.9108,57.6575,92.1074,9.6217,,0.1637,103,24
14,BO-EI,200,75,10,2.0000,67.5987,75.0630,56.1211,56.4772,90.4911,9.4069,,0.1011,103,24
15,BO-EI,10507,40,10,1.8335,69.9013,77.6250,59.4836,60.2505,91.7431,9.5050,,0.2091,103,23
16,BO-EI,10507,35,10,1.8663,70.1532,77.9090,59.5021,61.0626,92.0095,9.3506,,0.2315,103,24
17,BO-EI,200,45,10,2.0000,68.3155,75.8626,56.7899,58.0339,90.9565,9.3427,,0.1346,103,25
18,BO-EI,10507,45,50,0.7201,62.8091,69.7305,48.1702,49.4299,89.0527,9.3600,,0.2577,103,13
19,BO-EI,10507,56,10,1.7175,68.2358,75.7761,57.3658,56.7222,91.7881,9.2493,,0.1967,103,22
20,BO-EI,10507,35,10,0.5000,65.9574,73.2119,53.1116,52.8441,91.1816,10.4332,,0.2841,103,17
21,BO-EI,10507,71,10,1.1266,67.1400,74.5386,54.1891,55.8763,91.4322,10.0075,,0.1701,103,20
22,BO-EI,10507,49,10,2.0000,69.5776,77.2624,58.7033,59.6277,92.0604,9.5940,,0.1853,103,22
23,BO-EI,10507,32,10,2.0000,69.9121,77.6398,59.0377,60.9489,91.5701,9.3793,,0.2359,103,24
24,BO-EI,10507,34,10,2.0000,70.2570,78.0267,59.3721,61.6969,91.9235,9.2532,,0.2238,103,24
25,BO-EI,200,56,10,1.1144,64.7052,71.8011,50.5666,51.3613,90.1980,11.1536,,0.1333,103,19
26,BO-EI,10507,100,24,2.0000,67.5843,75.0267,55.8982,55.3885,91.5532,10.3010,,0.1532,103,19
27,BO-EI,2105,10,10,2.0000,66.2889,73.6144,52.9816,55.5659,90.3766,8.9700,,0.2013,103,21
28,BO-EI,10507,40,34,2.0000,68.2037,75.7220,57.3658,56.1189,91.6965,10.0576,,0.2482,103,19
