call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
46,Exploit,2887,29,10,2.0000,78.0567,84.7198,78.1514,71.4415,92.2680,21.0824,,0.1837,49,20
47,Exploit,2176,30,10,2.0000,78.0674,84.7314,77.4547,71.9520,92.4878,21.8157,,0.1672,49,18
48,Exploit,200,73,50,2.0000,69.4413,75.3690,63.6321,56.8435,89.2095,23.9051,,-0.0213,49,11
49,Exploit,1305,10,16,1.4788,76.0405,82.5315,73.2373,68.3964,92.6215,22.1200,,0.2845,49,13
50,Exploit,1185,89,13,1.6338,77.3661,83.9702,77.2503,69.0767,93.1683,22.5420,,0.1172,49,20
1,BO-EI,3828,27,41,1.2743,76.2735,82.7843,74.2034,67.8893,93.2321,22.2649,,0.2598,49,14
2,BO-EI,2231,19,28,0.8007,75.4291,81.8679,74.4542,64.8983,92.9673,21.0300,,0.3274,49,14
3,BO-EI,851,69,12,1.4996,76.9917,83.5639,76.4793,69.2415,92.0793,20.9455,,0.1202,49,18
4,BO-EI,4475,10,50,1.3115,73.1789,79.4256,69.0200,62.1249,92.8109,22.8693,,0.3616,49,13
5,BO-EI,2986,11,11,1.1446,75.9424,82.4250,73.1630,68.3854,92.2528,21.3963,,0.3001,49,15
6,BO-EI,2021,14,49,0.6190,75.9601,82.4442,74.1013,67.1542,92.8410,21.7980,,0.3470,49,13
7,BO-EI,613,66,25,1.9698,76.5120,83.0432,76.7116,67.4059,91.9722,20.7777,,0.1196,49,15
8,BO-EI,2326,87,37,1.0109,75.8340,82.3074,74.9187,65.7903,93.1110,22.1553,,0.1699,49,14
9,BO-EI,260,95,33,0.8937,72.1306,78.2878,68.4905,60.3906,90.8187,23.6314,,0.0256,49,11
10,BO-EI,273,31,20,1.4299,76.0760,82.5700,72.1598,69.5456,92.6236,22.2646,,0.0846,49,13
11,BO-EI,1500,69,15,1.0150,76.4889,83.0182,74.6400,68.5534,92.8303,21.1046,,0.1599,49,17
12,BO-EI,648,74,49,1.8709,75.8948,82.3734,74.1941,66.6432,93.1153,23.3220,,0.1050,49,13
13,BO-EI,1050,60,12,1.3255,77.4920,84.1069,76.6094,70.6169,92.4984,21.9163,,0.1411,49,19
14,BO-EI,1050,31,21,1.7828,77.5073,84.1235,77.5755,69.7101,92.6080,22.0076,,0.1815,49,17
15,BO-EI,3805,99,19,1.8195,77.7680,84.4065,78.1328,69.7028,93.2004,21.4260,,0.1313,49,18
16,BO-EI,2448,47,20,2.0000,77.7156,84.3496,78.6345,69.8038,92.2227,21.0045,,0.1687,49,19
17,BO-EI,3968,72,26,2.0000,77.1025,83.6841,77.3525,68.3378,92.7759,21.5769,,0.1482,49,17
18,BO-EI,1666,13,16,2.0000,76.6676,83.2121,76.5629,67.6912,92.5109,21.8270,,0.2407,49,16
19,BO-EI,3286,22,22,2.0000,76.8638,83.4251,77.3247,67.6103,92.6519,21.8994,,0.2415,49,17
20,BO-EI,2368,100,20,1.8271,77.0964,83.6775,76.8323,68.5970,93.0215,21.6307,,0.1227,49,18
21,BO-EI,4755,52,18,1.5140,77.2173,83.8088,76.6465,68.8635,93.4706,21.0342,,0.1814,49,18
22,BO-EI,200,10,10,0.2000,69.1194,75.0196,58.5880,58.5777,92.2902,22.0844,,0.0748,49,8
23,BO-EI,4242,100,10,1.7214,77.2133,83.8044,76.9902,68.4040,93.6587,21.3632,,0.1108,49,20
24,BO-EI,4755,100,10,0.2000,9.6910,10.5183,1.5049,0.8720,93.2558,22.3704,,0.2004,49,13
25,BO-EI,4755,100,10,1.2536,76.3223,82.8373,75.3739,66.6181,93.7754,19.6010,,0.1359,49,19
26,BO-EI,4755,100,10,2.0000,77.2647,83.8602,76.8137,68.9991,93.3126,20.3451,,0.1119,49,21
27,BO-EI,4755,42,10,1.8550,78.2434,84.9225,78.8388,70.7744,93.2120,21.2849,,0.1767,49,20
28,BO-EI,4755,50,10,1.1790,76.7382,83.2888,75.6712,68.4982,92.8397,21.7332,,0.1937,49,19
29,BO-EI,4755,39,10,1.8922,78.3737,85.0639,79.0060,71.1548,93.1354,21.1732,,0.1822,49,20
30,BO-EI,200,10,10,0.6852,70.9516,77.0082,63.4928,60.7419,91.1870,23.6536,,0.0716,49,10
31,BO-EI,200,37,50,0.9761,69.5783,75.5177,63.1770,56.9784,90.3491,24.1467,,0.0533,49,10
32,BO-EI,4481,10,10,0.6502,73.8199,80.1214,70.2647,63.1658,92.8479,22.2122,,0.3657,49,14
33,BO-EI,2959,69,10,1.2665,77.6380,84.2653,77.2596,69.9160,93.3393,20.6722,,0.1397,49,21
34,BO-EI,4755,10,50,0.2000,73.5000,79.7741,62.9261,68.6651,93.7301,23.8335,,0.4065,49,7
35,BO-EI,4755,100,41,1.4963,76.0883,82.5834,73.9526,67.3959,93.3217,22.4864,,0.1280,49,14
36,BO-EI,4755,87,10,1.8585,78.2638,84.9446,78.8388,70.8119,93.2601,21.1929,,0.1213,49,21
37,BO-EI,4755,72,25,1.2105,75.9994,82.4869,74.2313,66.8652,93.2721,21.4580,,0.1645,49,15
38,BO-EI,200,85,10,1.1450,68.4526,74.2959,61.3841,54.7690,90.6287,20.7107,,-0.0617,49,12
39,BO-EI,4755,73,10,0.9619,76.5246,83.0569,74.6307,67.9896,93.7866,19.7964,,0.1691,49,19
40,BO-EI,4755,52,10,1.4024,76.9134,83.4788,76.8509,67.9404,93.0095,21.3933,,0.1664,49,21
41,BO-EI,2155,49,10,1.4345,77.6988,84.3314,77.2225,70.8496,92.4429,22.1069,,0.1670,49,19
42,BO-EI,3019,57,10,0.9430,76.9614,83.5310,75.4947,69.0242,93.4269,20.5385,,0.1907,49,18
43,BO-EI,200,31,10,2.0000,71.2169,77.2961,63.9666,61.4631,90.7947,22.7910,,0.0070,49,13
44,BO-EI,2947,51,10,1.7459,78.5695,85.2763,78.8203,71.8093,93.4316,21.2346,,0.1563,49,21
45,BO-EI,3062,10,10,1.7790,76.5046,83.0352,75.3367,67.9633,92.8465,21.2740,,0.2113,49,15
46,BO-EI,1678,65,29,1.5449,76.9603,83.5298,76.3586,68.6771,92.8313,21.9104,,0.1546,49,17
47,BO-EI,3137,55,10,1.8393,77.2945,83.8925,77.0181,69.3096,92.7907,21.4111,,0.1490,49,21
48,BO-EI,2741,38,10,1.7080,78.4421,85.1381,78.3000,72.5127,92.5375,21.8373,,0.1877,49,19
49,BO-EI,1530,100,10,2.0000,77.5791,84.2014,77.8542,69.6369,92.7160,21.1035,,0.1019,49,21
50,BO-EI,2343,46,10,1.2110,77.5400,84.1590,77.1203,69.9376,93.0080,22.3226,,0.1953,49,20
1,Explore,3828,27,41,1.2743,76.2735,82.7843,74.2034,67.8893,93.2321,22.2649,,0.2598,49,14
2,Explore,2231,19,28,0.8007,75.4291,81.8679,74.4542,64.8983,92.9673,21.0300,,0.3274,49,14
3,Explore,851,69,12,1.4996,76.9917,83.5639,76.4793,69.2415,92.0793,20.9455,,0.1202,49,18
4,Explore,4475,10,50,1.3115,73.1789,79.4256,69.0200,62.1249,92.8109,22.8693,,0.3616,49,13
5,Explore,2986,11,11,1.1446,75.9424,82.4250,73.1630,68.3854,92.2528,21.3963,,0.3001,49,15
6,Explore,2021,14,49,0.6190,75.9601,82.4442,74.1013,67.1542,92.8410,21.7980,,0.3470,49,13
7,Explore,613,66,25,1.9698,76.5120,83.0432,76.7116,67.4059,91.9722,20.7777,,0.1196,49,15
8,Explore,2326,87,37,1.0109,75.8340,82.3074,74.9187,65.7903,93.1110,22.1553,,0.1699,49,14
9,Explore,260,95,33,0.8937,72.1306,78.2878,68.4905,60.3906,90.8187,23.6314,,0.0256,49,11
10,Explore,273,31,20,1.4299,76.0760,82.5700,72.1598,69.5456,92.6236,22.2646,,0.0846,49,13
11,Explore,1534,69,12,1.5743,77.5182,84.1353,77.1296,69.7739,93.1103,22.4491,,0.1488,49,20
12,Explore,3965,69,11,1.7850,77.4479,84.0590,77.5476,69.2248,93.0049,21.5411,,0.1381,49,21
13,Explore,3448,71,10,0.6533,75.8806,82.3580,74.5007,66.4492,92.9333,21.4791,,0.1876,49,17
14,Explore,4257,68,10,2.0000,77.9816,84.6383,78.8017,69.8806,93.1911,20.9792,,0.1343,49,21
15,Explore,3814,66,10,2.0000,78.3170,85.0023,78.8481,71.4328,92.6897,21.0864,,0.1328,49,21
16,Explore,4215,62,10,2.0000,77.8513,84.4968,78.7088,69.8942,92.6609,20.9845,,0.1431,49,21
17,Explore,2320,100,10,2.0000,77.6199,84.2457,77.2318,70.3694,92.6851,21.6955,,0.0995,49,21
18,Explore,4734,10,14,2.0000,77.0925,83.6733,75.0023,70.2751,92.9972,21.0314,,0.2348,49,15
19,Explore,1233,76,44,0.2000,11.0994,12.0469,1.6628,1.3777,91.9277,19.9609,,0.2259,49,8
20,Explore,4755,10,50,0.7151,73.2847,79.5405,68.1189,62.8413,93.5056,23.5151,,0.3559,49,12
21,Explore,200,100,50,1.7540,67.7866,73.5730,62.6660,52.5704,88.9403,24.0447,,-0.0126,49,11
22,Explore,4755,42,10,1.9087,77.7439,84.3803,78.2908,69.4857,93.1873,20.4604,,0.1794,49,21
23,Explore,200,10,46,1.1358,71.4234,77.5202,63.9666,61.6527,91.5700,24.1291,,0.0786,49,9
24,Explore,4755,100,10,1.2896,76.6602,83.2041,75.3646,67.8370,93.7441,19.9384,,0.1311,49,19
25,Explore,200,10,10,0.6855,70.8332,76.8797,63.2234,60.6039,91.1731,23.7986,,0.0698,49,10
26,Explore,2382,100,10,1.3456,77.1965,83.7861,76.0985,70.0515,92.4472,21.4107,,0.1131,49,18
27,Explore,200,10,10,1.8035,72.2177,78.3824,64.9512,63.7849,91.1103,22.8464,,0.0638,49,11
28,Explore,4755,100,10,1.6271,76.9748,83.5456,76.2007,68.1452,93.8206,20.0243,,0.1102,49,20
29,Explore,4755,10,38,2.0000,74.9770,81.3772,70.7478,66.8042,92.7879,23.0191,,0.2424,49,15
30,Explore,200,100,18,2.0000,68.0314,73.8387,60.6874,55.2940,88.5845,24.2571,,-0.0481,49,10
31,Explore,4755,10,40,2.0000,75.3847,81.8197,71.2773,67.7634,92.7861,23.5211,,0.2723,49,13
32,Explore,1764,31,47,2.0000,78.3099,84.9946,77.3804,72.7418,92.7146,22.0500,,0.1841,49,15
33,Explore,200,90,10,2.0000,68.6994,74.5637,62.1644,55.2337,90.0246,21.5507,,-0.0391,49,13
34,Explore,4755,51,36,2.0000,76.9466,83.5150,77.3525,68.5613,91.7280,20.9180,,0.1677,49,17
35,Explore,2580,10,10,1.9247,76.6976,83.2447,74.7887,69.2589,92.7072,21.3228,,0.2117,49,16
36,Explore,2842,10,10,1.5130,76.8744,83.4366,74.9559,69.5993,92.8995,21.4057,,0.2571,49,15
37,Explore,200,41,50,0.2000,11.3966,12.3694,1.7092,1.5444,88.6715,25.3926,,0.0770,49,7
38,Explore,2019,68,50,1.9480,77.1239,83.7073,76.6930,69.0952,92.6506,22.9370,,0.1448,49,16
39,Explore,4755,100,10,1.0464,76.5465,83.0806,74.7515,67.6931,94.1527,20.5924,,0.1415,49,18
40,Explore,2569,10,10,2.0000,76.4252,82.9490,74.5286,68.7459,92.4003,22.2407,,0.2096,49,16
41,Explore,4223,100,50,1.9162,76.1156,82.6130,74.7515,66.9620,93.0556,22.0870,,0.1286,49,15
42,Explore,2645,62,10,1.4707,77.4442,84.0550,76.6001,70.3697,92.6055,21.9238,,0.1435,49,19
43,Explore,1224,10,10,1.9306,76.1348,82.6338,75.4761,68.0123,90.8306,21.2486,,0.2176,49,15
44,Explore,3280,100,50,0.7522,76.2866,82.7985,73.9433,68.0415,93.4149,21.8474,,0.1724,49,13
45,Explore,2049,58,24,1.9749,77.4139,84.0221,78.3000,68.6964,92.6567,20.8116,,0.1729,49,18
46,Explore,2929,56,10,2.0000,77.0904,83.6710,77.1203,68.7242,92.4740,21.3986,,0.1538,49,21
47,Explore,3125,10,10,1.9078,76.9319,83.4990,75.4854,69.4164,92.7679,21.0686,,0.2167,49,15
48,Explore,3164,100,10,1.1869,77.2044,83.7948,75.4482,69.9637,93.3995,20.3769,,0.1211,49,18
49,Explore,2863,100,10,1.5494,77.0800,83.6597,76.1170,69.1489,93.0672,21.1962,,0.1115,49,20
50,Explore,3067,45,10,1.6507,78.4045,85.0973,78.3837,72.2094,92.6493,21.8094,,0.1745,49,19
