call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,8466,27,41,1.3953,72.3081,75.5143,62.1684,52.3208,89.4849,10.3152,,0.4078,98,13
2,Exploit,4826,19,28,1.0006,71.5040,74.6714,60.8612,51.0708,89.1915,10.5464,,0.4589,98,12
3,Exploit,1683,69,12,1.5830,73.0436,76.2803,62.8989,52.8676,90.9066,10.6545,,0.1559,98,16
4,Exploit,9939,10,50,1.4262,71.1829,74.3491,59.2849,52.1420,89.5540,9.0648,,0.3636,98,12
5,Exploit,6547,11,11,1.2872,73.8137,77.1009,63.0527,56.5073,90.2706,8.9663,,0.3427,98,16
6,Exploit,4349,14,49,0.8492,72.2507,75.4514,59.8616,54.5491,88.5356,10.6222,,0.5079,98,11
7,Exploit,1140,66,25,1.9748,72.4070,75.6209,63.3218,51.4392,90.2266,9.9619,,0.1911,98,17
8,Exploit,5044,87,37,1.1757,71.1774,74.3304,58.2084,52.7287,88.6940,10.4899,,0.1376,98,10
9,Exploit,338,95,33,1.0781,2.4094,2.4137,0.0000,0.0000,87.5121,11.5848,,0.0828,98,12
10,Exploit,366,31,20,1.5249,71.8255,74.9946,60.7843,50.9732,89.6808,11.9547,,0.2062,98,14
11,Exploit,5886,83,38,1.2809,70.8089,73.9415,58.6697,51.3514,88.0429,10.8798,,0.1767,98,11
12,Exploit,2082,67,10,1.5168,73.8443,77.1207,64.1292,54.0796,91.5263,10.3029,,0.1788,98,17
13,Exploit,5753,11,10,1.2665,72.2988,75.5134,61.9377,53.3289,89.0474,9.3486,,0.3488,98,14
14,Exploit,7659,85,32,1.1215,70.5360,73.6517,58.8235,50.5721,87.2524,11.3715,,0.1959,98,11
15,Exploit,10577,68,10,0.5000,74.4496,77.7391,63.6678,55.5787,91.1439,11.8966,,0.2467,98,16
16,Exploit,10054,40,49,0.5282,70.7142,73.8397,57.0165,50.3170,91.6232,11.1837,,0.2994,98,9
17,Exploit,9540,48,11,0.5783,72.9534,76.1937,63.5525,52.8719,90.3671,9.8072,,0.3077,98,15
18,Exploit,8841,52,13,0.6197,73.9788,77.2654,63.3987,55.9715,90.5712,9.8576,,0.2887,98,15
19,Exploit,200,51,50,2.0000,70.8442,73.9909,60.2845,50.3753,88.9316,9.5083,,0.0951,98,14
20,Exploit,10577,54,10,0.5000,74.2585,77.5385,63.8216,54.5541,91.5606,11.9878,,0.2822,98,16
21,Exploit,3862,59,11,0.6591,71.4313,74.5818,61.4764,49.5131,89.1465,12.0365,,0.2682,98,13
22,Exploit,8716,38,30,0.6375,71.8687,75.0479,60.0154,52.0397,90.0963,11.0760,,0.3387,98,11
23,Exploit,10568,100,10,0.5000,73.9333,77.1989,62.0146,54.1797,93.2295,11.9343,,0.1995,98,15
