Consensus_Cell_Type,Total_Cells_in_Cluster,Matching_Individual_Predictions,Cluster_Annotation_Score_CAS (%)
CD4.Naive,3568,2044,57.28699551569507
CD14_mono,3012,2710,89.9734395750332
B_naive,1657,1018,61.43633071816536
MAIT,932,445,47.74678111587983
NK_16hi,785,491,62.547770700636946
CD16_mono,380,327,86.05263157894737
DC3,186,80,43.01075268817204
Platelets,162,151,93.20987654320987
pDC,83,83,100.0
