call_number,strategy,n_hvg,n_pcs,n_neighbors,resolution,yield_score_target,balanced_score_gmean,weighted_mean_cas,simple_mean_cas,mean_mcs,mean_f1,mean_confidence,silhouette_score,n_individual_labels,n_consensus_labels
1,Exploit,5594,27,41,1.3953,37.7027,60.8648,39.9060,36.5051,84.4698,8.1861,,0.1770,80,8
2,Exploit,3219,19,28,1.0006,39.4381,63.8230,40.6994,40.5809,91.5294,7.3425,,0.2042,80,10
3,Exploit,1167,69,12,1.5830,39.6243,64.2041,41.8454,39.7003,93.9401,6.7569,,0.0960,80,12
4,Exploit,6556,10,50,1.4262,38.6465,62.4812,40.4349,40.1375,85.0196,7.6676,,0.2141,80,8
5,Exploit,4342,11,11,1.2872,39.5685,64.1401,41.7279,42.3569,88.1791,6.5412,,0.2018,80,12
6,Exploit,2908,14,49,0.8492,38.4833,62.2540,38.7599,37.7820,93.2155,7.3497,,0.2166,80,8
7,Exploit,814,66,25,1.9748,39.3151,63.6518,42.0217,38.5301,92.6304,7.1033,,0.0827,80,13
8,Exploit,3361,87,37,1.1757,38.6411,62.5231,39.7590,37.5440,93.1734,7.2724,,0.1099,80,8
9,Exploit,290,95,33,1.0781,37.7330,61.0459,38.4073,37.6208,87.4034,7.1630,,0.0113,80,9
10,Exploit,308,31,20,1.5249,39.4937,63.9955,41.4340,40.3800,92.0978,6.7109,,0.0932,80,13
11,Exploit,6972,10,13,0.5000,39.9939,64.8224,41.7867,44.2254,87.9171,6.6684,,0.2571,80,9
12,Exploit,6553,66,36,0.8167,37.3540,60.4755,38.3191,35.2872,90.3688,6.7578,,0.0514,80,7
13,Exploit,6972,10,16,0.5000,39.9122,64.6896,41.6397,43.8791,88.1944,6.6572,,0.2574,80,9
14,Exploit,6972,100,16,0.5000,38.8459,62.9486,38.7599,39.4795,94.2948,6.5791,,0.0468,80,10
15,Exploit,6972,10,16,2.0000,39.9124,64.6713,42.7564,43.2814,86.8178,6.8020,,0.1842,80,11
16,Exploit,6972,10,13,0.5117,39.4902,64.0137,40.8757,43.3838,87.2001,6.5247,,0.2439,80,8
17,Exploit,200,10,19,2.0000,39.2439,63.5194,40.7582,40.8789,89.1146,7.2225,,0.1089,80,12
18,Exploit,200,10,10,2.0000,39.9083,64.6901,40.8169,43.0938,91.6778,6.6029,,0.0937,80,14
19,Exploit,6234,87,23,1.7742,38.1007,61.7682,40.9639,36.3211,90.1646,6.2405,,0.0762,80,10
20,Exploit,6972,32,10,2.0000,40.1626,65.0926,43.0502,42.6413,89.9651,6.7202,,0.1622,80,14
21,Exploit,200,39,10,0.5000,38.7967,62.7959,39.8472,38.8532,91.6105,7.1386,,0.0906,80,10
22,Exploit,6972,10,10,2.0000,39.8823,64.6025,42.1687,43.6190,86.8014,6.9532,,0.1721,80,11
23,Exploit,5927,77,34,1.9916,38.3530,62.1206,40.1411,37.7022,90.1515,6.7226,,0.0806,80,9
24,Exploit,2710,59,49,1.7828,37.3682,60.4331,39.6121,33.9559,89.9599,7.2694,,0.0831,80,9
25,Exploit,4078,97,19,0.9424,37.9915,61.5219,39.6709,35.5080,93.0467,6.7626,,0.0541,80,9
26,Exploit,4166,15,15,0.8013,39.3397,63.7480,40.7875,42.4846,87.5737,6.6687,,0.2265,80,9
27,Exploit,3641,35,28,1.4048,38.7327,62.7922,41.4046,38.9539,88.8254,6.3481,,0.1653,80,10
28,Exploit,6972,43,10,2.0000,40.0884,65.0170,43.3147,41.4221,92.0251,6.3614,,0.1300,80,15
